Design|Max-Depth|Engine
6s109.csv|28|bmc3g
6s119.csv|53|bmc3g
6s12.csv|12|bmc3g
6s130.csv|137|bmc3g
6s131.csv|157|bmc3g
6s13.csv|8|bmc3g
6s149.csv|1026|bmc3g
6s158.csv|2|bmc3g
6s16.csv|13|bmc3g
6s171.csv|855|bmc3g
6s183.csv|186|bmc3g
6s185.csv|21|bmc3g
6s186.csv|21|bmc3g
6s187.csv|20|bmc3g
6s190.csv|263|bmc3g
6s194.csv|4014|bmc3g
6s195.csv|750|bmc3
6s20.csv|8|bmc3
6s23.csv|26|bmc3
6s266rb2.csv|25|bmc3
6s267rb3.csv|25|bmc3
6s268r.csv|129|bmc3
6s274r.csv|66110|bmc3
6s279r.csv|15|bmc3
6s280r.csv|17|bmc3
6s284rb1.csv|92|bmc3
6s290.csv|41|bmc3
6s292rb037.csv|201|bmc3
6s29.csv|139|bmc3
6s310r.csv|402|bmc3
6s320rb0.csv|8|bmc3
6s320rb1.csv|7|bmc3
6s329rb19.csv|41|bmc3
6s329rb20.csv|41|bmc3
6s340rb27.csv|12|bmc3
6s340rb63.csv|12|bmc3
6s343b08.csv|425|bmc3
6s351rb15.csv|321|bmc3
6s357r.csv|38|bmc3
6s359r.csv|89845|bmc3
6s35.csv|71|bmc3
6s367r.csv|49|bmc3
6s36.csv|94|bmc3
6s377r.csv|63|bmc3
6s37.csv|123|bmc3
6s38.csv|56|bmc3
6s407rb296.csv|40|bmc3
6s428rb098.csv|6|bmc3
6s42.csv|34|bmc3
6s45.csv|99|bmc3
6s516r.csv|17|bmc3
6s517rb0.csv|14|bmc3
6s7.csv|53|bmc3
beembrptwo3b2.csv|2439|bmc3
beemcmbrdg7f2.csv|24|bmc3
beemextnc1b1.csv|19|bmc3
beemextnc3f1.csv|48|bmc3
beemfrogs4f1.csv|33|bmc3
beemfwt4b1.csv|29|bmc3
beemfwt5b3.csv|44|bmc3
beemhanoi4b1.csv|20|bmc3
beemldfilt7b1.csv|12|bmc3
beemlifts3b1.csv|18|bmc3
beemndhm4b3.csv|18|bmc3
beempgmprot1f2.csv|102|bmc3
beemrshr4b1.csv|44|bmc3
bob12s08.csv|12|bmc3
bob12s09.csv|7|bmc3
bobpcihm.csv|26|bmc3
intel012.csv|92|bmc3
intel016.csv|66|bmc3
intel026.csv|2149|bmc3
intel027.csv|100|bmc3
intel028.csv|453|bmc3
intel032.csv|67|bmc3
intel034.csv|2341|bmc3
intel044.csv|23|bmc3
intel046.csv|27|bmc3
intel047.csv|29|bmc3
intel064.csv|6|bmc3
intel066.csv|5|bmc3
