circuit,M,I,L,O,A,max_depth
6s357r.aig,1447,17,196,1,1234,43
6s185.aig,2517,37,367,1,2113,21
6s186.aig,2540,38,372,1,2130,21
6s187.aig,2560,38,372,1,2150,20
6s310r.aig,3497,86,397,1,3014,860
6s122.aig,3570,29,554,1,2987,185
6s514r.aig,3876,36,441,1,3399,20
beembrptwo6b1.aig,4386,259,228,1,3899,-1
beembrptwo3b2.aig,4462,259,228,1,3975,897
6s161.aig,4496,75,348,1,4073,17
6s37.aig,4502,42,753,1,3707,93
6s45.aig,5810,91,651,1,5068,99
beemextnc3f1.aig,6297,112,385,1,5800,49
intel026.aig,6440,486,492,1,5462,612
beemldfilt7b1.aig,6514,312,254,1,5948,14
intel047.aig,7120,642,647,1,5831,33
intel044.aig,7120,642,647,1,5831,33
intel046.aig,7120,642,647,1,5831,35
6s516r.aig,7385,69,857,1,6459,19
6s280r.aig,7396,68,857,1,6471,19
beemcmbrdg7f2.aig,7880,58,442,1,7380,25
6s36.aig,8301,74,1072,1,7155,95
6s190.aig,8371,74,1079,1,7218,96
beemfrogs4f1.aig,8614,9,221,1,8384,34
beemextnc1b1.aig,9027,393,316,1,8318,23
6s268r.aig,9289,74,1324,1,7891,131
6s195.aig,9390,87,1257,1,8046,771
6s171.aig,9430,94,1263,1,8073,931
6s109.aig,9434,9,338,1,9087,28
6s42.aig,9632,76,1211,1,8345,38
6s274r.aig,10192,76,1712,1,8404,66113
6s367r.aig,10630,35,1610,1,8985,74
6s35.aig,11257,77,1572,1,9608,72
bobpcihm.aig,11353,304,1422,1,9627,29
6s29.aig,12148,4,2247,1,9897,152
beemhanoi4b1.aig,13121,468,464,1,12189,22
6s38.aig,13121,343,1931,1,10847,83
intel066.aig,14399,888,891,1,12620,8
6s517rb0.aig,14426,133,1689,1,12604,17
6s279r.aig,14436,132,1689,1,12615,17
6s194.aig,14970,532,2389,1,12049,834
6s16.aig,14994,249,608,1,14137,13
intel032.aig,16119,890,961,1,14268,71
6s12.aig,16282,245,598,1,15439,12
6s183.aig,16411,252,607,1,15552,53
6s22.aig,18442,73,1126,1,17243,53
6s267rb3.aig,19224,145,1602,1,17477,27
6s266rb2.aig,19224,145,1602,1,17477,27
beempgmprot1f2.aig,20448,120,1024,1,19304,106
6s284rb1.aig,22105,192,2352,1,19561,99
beemndhm4b3.aig,23585,490,345,1,22750,21
6s351rb15.aig,23645,4,3862,1,19779,336
intel064.aig,25381,1595,1598,1,22188,8
6s130.aig,25550,439,811,1,24300,48
6s131.aig,25550,439,811,1,24300,49
6s292rb037.aig,25719,125,3190,1,22404,814
beemskbn2b1.aig,26124,514,507,1,25103,29
6s158.aig,26324,193,256,1,25875,3
6s13.aig,27234,439,811,1,25984,8
6s359r.aig,27694,68,1089,1,26537,99577
bob12s08.aig,29248,79,1994,1,27175,19
intel016.aig,29398,2232,2297,1,24869,70
6s320rb1.aig,30600,49,202,1,30349,8
bob12s09.aig,30612,44,285,1,30283,9
intel034.aig,32226,3292,3297,1,25637,805
6s428rb098.aig,33284,410,3790,1,29084,9
beemlifts3b1.aig,44481,456,257,1,43768,25
6s340rb63.aig,46108,480,3337,1,42291,20
6s340rb27.aig,46108,480,3337,1,42291,20
6s343b08.aig,48975,205,4774,1,43996,589
beemfwt4b1.aig,51219,2257,1594,1,47368,31
intel014.aig,59644,4293,4309,1,51042,99
beemrshr4b1.aig,66627,745,720,1,65162,45
6s23.aig,71624,12,10009,1,61603,28
intel027.aig,75541,5127,5143,1,65271,96
intel012.aig,82866,5874,5884,1,71108,94
intel036.aig,95159,5807,5805,1,83547,108
intel028.aig,103554,7426,7436,1,88692,96
6s119.aig,105531,579,15893,1,89059,53
beemfwt5b3.aig,112141,4324,3046,1,104771,48
6s377r.aig,112151,462,4708,1,106981,69
6s149.aig,112623,713,12781,1,99129,325
6s376r.aig,113207,462,4708,1,108037,221
6s290.aig,121464,543,13679,1,107242,42
6s407rb296.aig,141204,201,11379,1,129624,52
6s329rb20.aig,203297,1560,31947,1,169790,47
6s329rb19.aig,203297,1560,31947,1,169790,47
6s204b16.aig,237048,8456,28986,1,199606,-1
6s348b53.aig,255161,237,15560,1,239364,9838
