F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,1,0,0,0,0,4,0.02
2,1,0,0,0,0,4,0.02
3,1,0,0,0,0,4,0.02
4,1,0,0,0,0,4,0.02
5,1,0,0,0,0,4,0.02
6,1,0,0,0,0,4,0.02
7,1,0,0,0,0,4,0.02
8,1,0,0,0,0,4,0.02
9,1,0,0,0,0,4,0.02
10,1,0,0,0,0,4,0.02
11,1,0,0,0,0,4,0.02
12,1,0,0,0,0,4,0.02
13,1,0,0,0,0,4,0.02
14,1,0,0,0,1,4,0.02
15,1,0,0,0,1,4,0.02
16,1,0,0,0,1,4,0.02
17,1,0,0,0,1,4,0.02
18,1,0,0,0,1,4,0.02
19,1,0,0,0,1,4,0.02
20,1,0,0,0,1,4,0.02
21,1,0,0,0,1,4,0.02
22,1,0,0,0,1,4,0.02
23,1,0,0,0,1,4,0.02
24,1,0,0,0,1,4,0.02
25,1,0,0,0,1,4,0.02
26,1,0,0,0,1,4,0.02
27,1,0,0,0,1,4,0.02
28,1,0,0,0,1,4,0.02
29,1,0,0,0,1,4,0.02
30,3967,14982,91,86,1,4,0.03
31,4565,17223,151,142,1,4,0.03
32,5411,20471,154,144,1,4,0.03
33,6544,24907,157,146,1,4,0.03
34,8460,32529,160,148,1,5,0.03
35,10478,40441,163,150,1,5,0.04
36,11620,44998,166,152,1,5,0.04
37,13146,51116,169,154,1,5,0.04
38,17335,66488,173,157,1,6,0.04
39,19213,74080,177,160,1,6,0.05
40,21476,83087,181,163,1,6,0.05
41,32348,126426,185,166,1,8,0.06
42,35327,138599,189,169,1,8,0.06
43,38628,152116,466,437,1,9,0.10
44,44871,177065,637,603,2,9,0.14
45,48043,190135,773,733,2,10,0.16
46,51395,203985,903,857,2,13,0.20
47,55153,219021,1071,1019,2,14,0.22
48,58577,232917,1142,1085,2,14,0.24
49,62478,248905,1280,1216,2,15,0.27
50,66553,265424,1413,1347,2,15,0.29
51,70025,279730,1790,1720,2,15,0.36
52,73497,294157,2035,1958,2,16,0.43
53,77347,310216,2251,2165,2,17,0.48
54,81648,327160,2584,2490,2,17,0.53
55,85735,344012,3030,2929,2,18,0.57
56,90053,361777,3736,3630,2,18,0.72
57,94072,378500,4409,4299,2,20,0.83
58,98091,395267,4682,4568,2,21,0.92
59,102508,413711,5296,5173,2,26,1.02
60,106619,430731,5887,5759,2,27,1.19
61,111079,449422,7924,7783,2,29,1.72
62,115390,467599,10683,8580,2,29,2.22
63,119504,485032,12223,10113,2,30,2.42
64,123618,502518,14222,9749,2,31,2.75
65,128099,521533,16188,11711,2,32,3.07
66,132249,539229,18166,13685,2,33,3.43
67,136716,558006,20324,13106,2,34,3.87
68,141031,576208,23171,15946,2,36,4.45
69,145148,593592,26300,16005,2,36,5.15
