F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,434,558,0,0,0,4,0.02
2,3777,13521,0,0,0,4,0.03
3,7120,26484,0,0,0,5,0.03
4,10463,39447,0,0,0,5,0.03
5,13806,52410,7,6,0,6,0.04
6,17149,65373,21,19,0,6,0.04
7,20492,78336,111,108,0,6,0.06
8,23835,91299,331,327,0,7,0.10
9,27178,104262,2211,2201,0,9,0.47
10,30521,117225,5299,5286,0,11,1.05
11,33864,130188,10649,7897,0,15,2.31
12,37207,143151,23776,15864,0,28,6.44
13,40550,156114,49314,21500,0,39,18.17
14,43893,169077,101772,32982,0,67,41.70
15,47236,182040,185448,41436,0,82,93.20
16,50579,195003,355779,67558,0,163,230.58
17,53922,207966,677413,90759,0,262,546.83
18,57265,220929,1131123,90942,0,230,1091.05
19,60608,233892,2070718,129755,0,363,2417.86
