F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.01
1,1,0,0,0,0,4,0.01
2,1198,4115,0,0,0,4,0.01
3,2444,8731,0,0,0,4,0.02
4,4137,15120,0,0,0,4,0.02
5,6145,22789,0,0,0,4,0.02
6,8360,31459,0,0,0,5,0.02
7,10627,40439,0,0,0,5,0.02
8,12936,49611,0,0,0,6,0.02
9,15269,58916,3,2,0,6,0.02
10,17602,68265,10,8,0,6,0.03
11,19935,77614,19,16,0,6,0.03
12,22268,86963,41,37,0,7,0.03
13,24601,96312,132,127,0,7,0.04
14,26934,105661,243,237,0,8,0.05
15,29267,115010,499,492,0,8,0.08
16,31600,124359,811,802,0,8,0.12
17,33933,133708,973,963,0,9,0.14
18,36266,143057,1399,1388,0,9,0.21
19,38599,152406,1997,1985,0,10,0.31
20,40932,161755,2754,2741,0,11,0.45
21,43265,171104,3734,3720,0,13,0.62
22,45598,180453,5663,5647,0,17,1.02
23,47931,189802,8316,8299,0,21,1.59
24,50264,199151,13256,11280,0,31,3.25
25,52597,208500,19177,12060,0,33,5.43
26,54930,217849,24076,13719,0,37,7.72
27,57263,227198,30428,16561,0,45,11.20
28,59596,236547,37247,19375,0,52,14.79
29,61929,245896,42778,20591,0,53,17.26
30,64262,255245,51144,24270,0,66,21.70
31,66595,264594,60581,22994,0,56,26.83
32,68928,273943,77652,27859,0,73,38.23
33,71261,283292,100684,36935,0,113,56.05
34,73594,292628,118986,39885,0,120,73.08
35,75927,301977,133136,37348,0,102,87.62
36,78260,311326,164270,40277,0,106,123.76
37,80593,320662,190330,46030,0,137,155.17
38,82926,330011,220727,54147,0,185,196.77
39,85259,339360,254697,51783,0,154,250.95
40,87592,348709,285885,57722,0,188,313.30
41,89925,358045,323698,68615,1,260,388.65
42,92258,367368,353796,70240,1,262,453.15
43,94591,376717,410322,81017,1,334,591.55
44,96924,386040,515800,81135,1,302,855.57
45,99257,395376,655437,100400,1,435,1251.08
46,101590,404712,787800,114747,1,546,1714.81
47,103923,414048,960030,117592,1,547,2357.17
48,106256,423371,1190075,115167,1,476,3268.16
