F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.03
1,4594,16552,0,0,0,4,0.03
2,9305,34322,3,2,0,5,0.03
3,14016,52092,29,27,0,6,0.04
4,18727,69862,71,68,0,6,0.04
5,23438,87632,249,245,0,7,0.06
6,28149,105402,421,416,0,8,0.07
7,32860,123172,1372,1366,0,9,0.12
8,37571,140942,1961,1954,0,9,0.16
9,42282,158712,2532,2524,0,10,0.20
10,46993,176482,3126,3117,0,12,0.29
11,51704,194252,3626,3616,0,16,0.43
12,56415,212022,7646,7635,0,20,1.21
13,61126,229792,13879,11924,0,26,2.03
14,65837,247562,24697,14509,0,27,3.92
15,70548,265332,95602,35340,0,56,22.83
16,75259,283102,318526,71634,0,120,122.26
17,79970,300872,553860,98544,0,158,270.57
18,84681,318642,976423,141457,0,249,564.42
19,89392,336412,1603430,157934,0,240,1127.69
20,94103,354182,2554185,205964,0,337,2415.54
