F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.76
1,20204,76227,0,0,0,6,0.90
2,40493,153163,0,0,0,9,1.10
3,60782,230099,0,0,0,15,1.28
4,81071,307035,0,0,0,16,1.50
5,101360,383971,5,4,0,25,1.80
6,121649,460907,49,47,1,28,2.35
7,141938,537843,143,140,1,31,4.20
8,162227,614779,445,441,1,33,9.12
9,182516,691715,1258,1253,1,37,19.87
10,202805,768651,1826,1820,1,52,34.41
11,223094,845587,3126,3119,1,57,56.72
12,243383,922523,5367,5359,1,64,95.85
13,263672,999459,9334,9325,1,75,161.21
14,283961,1076395,14847,10483,1,80,267.12
15,304250,1153331,26575,16132,1,94,470.55
16,324539,1230267,47999,20998,1,106,861.41
17,344828,1307203,87813,27171,1,126,1661.91
18,365117,1384139,151107,34101,2,141,3227.64
