F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.05
1,1,0,0,0,0,4,0.05
2,1,0,0,0,0,4,0.05
3,1,0,0,0,0,4,0.05
4,1,0,0,0,0,4,0.05
5,1,0,0,0,0,4,0.05
6,1,0,0,0,0,4,0.05
7,1,0,0,0,0,4,0.05
8,1,0,0,0,0,4,0.05
9,1,0,0,0,0,4,0.06
10,1,0,0,0,0,4,0.06
11,4571,16351,0,0,0,4,0.06
12,7056,26824,0,0,0,5,0.07
13,10026,39749,87,83,1,5,0.09
14,14090,57737,276,264,1,6,0.11
15,19311,81005,1050,1036,1,6,0.20
16,24461,104332,2071,2050,1,8,0.33
17,30011,129199,8203,8162,1,9,1.28
18,35451,153846,19226,12013,1,12,3.54
19,40905,178553,40837,18314,1,14,8.95
20,46361,203270,80856,30584,1,19,22.80
21,51825,228015,167207,39813,1,24,61.04
22,57289,252760,272354,63287,1,32,115.29
23,62753,277505,518108,89212,1,40,251.68
24,68217,302250,1278642,144359,1,57,734.59
25,73681,326977,3892594,183157,1,68,1857.44
