F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.47
1,1,0,0,0,0,4,0.47
2,1,0,0,0,0,4,0.48
3,1,0,0,0,0,4,0.51
4,1,0,0,0,0,4,0.51
5,1,0,0,0,1,4,0.51
6,1,0,0,0,1,4,0.51
7,1,0,0,0,1,4,0.55
8,2517,8980,29,28,1,4,0.58
9,4819,17883,52,50,1,4,0.65
10,11681,46394,98,95,1,6,0.76
11,19085,78777,150,146,1,6,0.87
12,26580,111974,220,215,1,8,1.05
13,34247,146057,335,329,1,9,1.25
14,44554,191501,520,513,1,11,1.64
15,54633,236942,640,632,2,15,1.86
16,68504,299088,765,756,2,18,2.15
17,81713,358918,917,907,2,20,2.44
18,95005,419271,1034,1023,2,22,2.77
19,113711,503591,1402,1390,2,30,3.42
20,128229,569513,1542,1526,2,33,3.81
21,143582,639355,1808,1790,2,36,4.67
22,158799,708934,2171,2148,2,39,5.29
23,174184,779579,2432,2408,2,42,6.17
24,189698,850783,2770,2742,2,45,7.03
25,205257,922205,3265,3236,3,59,8.61
26,220826,993697,3617,3586,3,61,9.76
27,236395,1065220,4220,4186,3,64,12.45
28,251964,1136749,4695,4656,3,67,14.20
29,267533,1208278,5065,5018,3,69,16.10
30,283102,1279807,5318,5269,3,73,16.94
31,298671,1351336,5694,5644,3,76,18.00
32,314240,1422865,5966,5912,3,78,18.57
33,329809,1494394,6228,6171,3,81,19.99
34,345378,1565923,6483,6418,3,84,20.52
35,360947,1637452,6653,6587,3,87,20.88
36,376516,1708981,6864,6796,4,89,21.30
37,392085,1780510,7086,7017,4,92,22.03
38,407654,1852039,7574,7503,4,116,25.09
39,423223,1923568,8241,8165,4,120,29.35
40,438792,1995097,8588,8510,4,123,30.32
41,454361,2066626,8870,8791,4,125,31.19
42,469930,2138155,9186,9106,4,128,32.04
43,485499,2209684,26317,17016,4,133,176.87
44,501068,2281213,26952,17650,4,136,178.35
45,516637,2352742,27882,15212,4,137,185.11
46,532206,2424271,29555,16883,5,141,195.94
47,547775,2495800,29996,17323,5,143,197.01
48,563344,2567329,30513,17839,5,146,200.10
49,578913,2638858,30789,18114,5,149,200.95
50,594482,2710387,31185,18509,5,152,202.22
51,610051,2781916,34573,17994,5,155,241.18
52,625620,2853445,34900,18320,5,159,242.44
53,641189,2924974,37419,20838,5,162,268.09
54,656758,2996503,38001,21419,5,165,272.82
55,672327,3068032,38216,21633,5,167,273.52
56,687896,3139561,42525,21932,5,170,329.82
57,703465,3211090,42854,22260,6,173,336.31
58,719034,3282619,43296,22701,6,176,337.66
59,734603,3354148,43583,22987,6,178,338.45
60,750172,3425677,43733,23136,6,181,338.85
61,765741,3497206,44121,23520,6,184,339.74
62,781310,3568735,45057,16685,6,186,345.14
63,796879,3640264,47353,18978,6,190,371.29
64,812448,3711793,47613,19237,6,234,371.85
65,828017,3783322,59065,26448,6,239,489.24
66,843586,3854851,59428,26810,6,242,491.55
67,859155,3926380,59947,27328,7,244,492.35
68,874724,3997909,60540,27920,7,247,502.34
69,890293,4069438,60794,23174,7,249,503.63
70,905862,4140967,61099,23478,7,252,507.13
71,921431,4212496,61450,23828,7,255,507.94
72,937000,4284025,61631,24008,7,259,508.73
73,952569,4355554,61926,24302,7,262,510.32
74,968138,4427083,63879,26254,7,264,532.86
75,983707,4498612,64698,27072,7,267,537.54
76,999276,4570141,66098,28470,7,271,549.84
77,1014845,4641670,67286,29657,8,274,564.70
78,1030414,4713199,68034,23358,8,276,566.43
79,1045983,4784728,71382,26705,8,279,593.62
80,1061552,4856257,72044,27366,8,282,595.53
81,1077121,4927786,72943,28264,8,285,598.77
82,1092690,4999315,73759,29079,8,287,606.08
83,1108259,5070844,74657,29976,8,290,609.58
84,1123828,5142373,75239,30557,8,293,613.70
85,1139397,5213902,75555,30872,8,296,615.86
86,1154966,5285431,76125,31441,8,299,617.77
87,1170535,5356960,76379,31694,8,302,618.28
88,1186104,5428489,76898,25761,9,303,621.38
89,1201673,5500018,77246,26108,9,306,622.06
90,1217242,5571547,77433,26294,9,309,622.60
91,1232811,5643076,77604,26464,9,312,623.04
92,1248380,5714605,78384,27243,9,315,626.30
93,1263949,5786134,78620,27478,9,317,627.16
94,1279518,5857663,78860,27717,9,319,627.63
95,1295087,5929192,82669,31524,9,323,667.69
96,1310656,6000721,82948,31802,9,326,670.53
97,1326225,6072250,83135,31988,9,329,671.07
98,1341794,6143779,85591,28095,10,331,709.96
99,1357363,6215308,93933,28832,10,334,801.62
100,1372932,6286837,95047,29945,10,337,824.73
101,1388501,6358366,95208,30105,10,340,825.37
102,1404070,6429895,95333,30229,10,345,825.70
103,1419639,6501424,95504,30399,10,347,826.11
104,1435208,6572953,95730,30624,10,350,826.51
105,1450777,6644482,96138,31031,10,353,830.24
106,1466346,6716011,96528,31420,10,357,836.69
107,1481915,6787540,97778,32669,10,360,852.15
108,1497484,6859069,98585,33475,10,363,858.12
109,1513053,6930598,98814,33703,11,365,858.59
110,1528622,7002127,99164,34052,11,368,859.21
111,1544191,7073656,99477,34364,11,371,859.68
112,1559760,7145185,99707,34593,11,373,860.22
113,1575329,7216714,100022,34907,11,376,860.78
