F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,1,0,0,0,0,4,0.02
2,1,0,0,0,0,4,0.02
3,1,0,0,0,0,4,0.02
4,1,0,0,0,0,4,0.02
5,1,0,0,0,0,4,0.02
6,1,0,0,0,0,4,0.02
7,1,0,0,0,0,4,0.02
8,373,1156,0,0,0,4,0.02
9,917,2987,0,0,0,4,0.02
10,1205,4047,0,0,0,4,0.02
11,1556,5337,0,0,0,4,0.02
12,2001,6996,26,22,0,4,0.02
13,2545,9026,192,184,0,4,0.02
14,3158,11338,388,375,0,4,0.02
15,3817,13861,778,762,0,4,0.03
16,4518,16556,1248,1224,0,4,0.03
17,5261,19427,2303,2277,0,4,0.05
18,6038,22373,2707,2672,0,5,0.05
19,6831,25459,3880,3841,0,5,0.07
20,7643,28627,6356,6285,1,5,0.13
21,8476,31866,8957,8872,1,5,0.21
22,9647,36177,11956,9550,1,5,0.30
23,10630,39966,18067,13252,1,7,0.52
24,11657,43944,44405,21778,1,8,1.28
25,13251,50004,54025,20643,1,9,1.59
26,17876,67380,75517,28662,1,10,2.35
27,21308,80545,98227,30468,1,11,3.25
28,23888,90484,145380,40127,1,14,5.30
29,26962,102606,267417,44796,1,14,11.91
30,29392,112289,489958,67024,1,19,28.08
31,31796,122052,954129,62222,1,20,66.03
32,34281,132217,1817078,112782,1,28,150.42
33,36837,142722,2344742,99128,1,26,210.73
34,39453,153533,2648955,127499,1,34,248.24
35,42133,164638,2947933,152030,1,39,280.52
36,44867,176031,3147992,143177,1,38,305.31
37,47641,187622,3858450,124864,1,38,405.08
38,50458,199420,4621323,139232,1,42,518.81
39,53310,211417,5018914,184493,1,52,578.76
40,56222,223620,5351068,165723,1,49,630.34
41,59174,236047,5694575,168271,1,50,685.19
42,62164,248690,6236831,200387,1,58,766.42
43,65190,261527,7133658,194597,1,57,995.22
44,68224,274504,8825393,242199,1,70,1348.33
45,71264,287545,9957182,229270,1,68,1597.44
46,74304,300610,11723158,324476,1,91,2016.40
47,77344,313683,13514695,316365,1,93,2410.56
48,80384,326756,15232719,287517,1,83,2767.36
49,83424,339829,17275988,346779,1,102,3243.20
