F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,240,740,0,0,0,4,0.02
2,648,2219,0,0,0,4,0.02
3,1211,4398,0,0,0,4,0.02
4,1809,6736,0,0,0,4,0.02
5,2468,9337,3,2,0,4,0.02
6,3181,12174,17,15,0,4,0.02
7,3952,15258,89,86,0,4,0.03
8,4777,18577,240,236,0,4,0.03
9,5658,22137,529,524,0,4,0.04
10,6593,25932,1161,1155,0,5,0.09
11,7588,29980,2261,2254,0,6,0.18
12,8637,34263,4613,4605,0,9,0.38
13,9742,38787,9251,9242,0,15,0.82
14,10901,43546,19178,13675,0,23,2.03
15,12118,48552,34943,19874,0,34,4.28
16,13389,53793,76081,26767,0,47,11.41
17,14716,59275,150475,33040,0,56,29.98
18,16097,64992,271344,35362,0,57,63.70
19,17536,70956,566909,69802,0,130,162.99
20,19029,77155,1053141,54745,0,93,358.16
21,20578,83595,1754065,95027,0,184,762.14
22,22185,90298,2364388,72134,0,112,1157.58
23,23810,97086,3295108,148476,0,335,1911.18
24,25437,103882,4962988,149057,0,315,3529.62
