F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,23,60,0,0,0,4,0.02
2,733,2361,0,0,0,4,0.02
3,2192,7966,23,22,0,4,0.02
4,3716,13957,54,52,0,4,0.02
5,5240,19948,86,83,0,4,0.02
6,6764,25939,142,138,0,5,0.02
7,8288,31930,449,444,0,5,0.03
8,9812,37921,1203,1197,0,5,0.07
9,11336,43912,2011,2004,0,6,0.13
10,12860,49903,3157,3149,0,6,0.20
11,14384,55894,4675,4666,0,7,0.32
12,15908,61885,6582,6572,0,7,0.52
13,17432,67876,10434,8389,0,8,0.88
14,18956,73867,12900,10854,0,10,1.18
15,20480,79858,19130,11932,0,10,2.07
16,22004,85849,26010,15654,0,13,3.06
17,23528,91840,39940,17654,0,13,5.56
18,25052,97831,53816,21600,0,16,8.16
19,26576,103822,74411,31831,0,22,12.44
20,28100,109813,91884,34304,0,24,16.82
21,29624,115804,119706,40777,0,27,23.92
22,31148,121795,149673,43506,0,31,31.79
23,32672,127786,195073,51386,0,37,45.18
24,34196,133777,248743,62028,0,48,63.19
25,35720,139768,337094,64449,0,48,95.38
26,37244,145759,536741,94997,0,78,187.71
27,38768,151750,757191,109040,0,89,289.35
28,40292,157741,916402,125540,0,102,366.30
29,41816,163732,1105722,131303,0,106,466.89
30,43340,169723,1336676,161336,0,137,614.07
31,44864,175714,1727829,169140,0,144,923.84
32,46388,181705,2312557,174110,0,139,1418.85
33,47912,187696,3139467,245213,0,234,2225.23
