F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.11
1,4173,5307,0,0,0,4,0.12
2,51295,178242,0,0,1,12,0.16
3,98417,351177,3,2,1,19,0.22
4,145539,524112,11,9,1,30,0.27
5,192661,697047,70,67,1,37,0.37
6,239783,869982,136,132,1,54,0.44
7,286905,1042917,358,353,2,60,0.55
8,334027,1215852,641,635,2,66,0.73
9,381149,1388787,787,780,2,72,0.91
10,428271,1561722,1376,1368,2,102,1.35
11,475393,1734657,2213,2204,2,108,2.15
12,522515,1907592,2619,2609,3,114,2.54
13,569637,2080527,3264,3253,3,121,3.23
14,616759,2253462,4112,4100,3,128,4.19
15,663881,2426397,5602,5589,3,137,5.74
16,711003,2599332,7321,7307,3,145,7.93
17,758125,2772267,9963,9948,4,154,11.43
18,805247,2945202,12341,10375,4,202,15.17
19,852369,3118137,15275,10988,4,209,20.53
20,899491,3291072,17911,13623,4,219,25.66
21,946613,3464007,22054,15067,4,227,32.68
22,993735,3636942,25810,15862,5,230,40.62
23,1040857,3809877,30484,16961,5,240,52.57
24,1087979,3982812,35863,18998,5,248,68.88
25,1135101,4155747,41751,20980,5,255,86.20
26,1182223,4328682,48112,21696,5,264,105.54
27,1229345,4501617,57990,26892,6,273,132.23
28,1276467,4674552,72591,31579,6,304,197.64
29,1323589,4847487,77465,31071,6,302,222.33
30,1370711,5020422,83677,31250,6,307,257.78
31,1417833,5193357,89810,31388,7,312,291.33
32,1464955,5366292,99297,34826,7,337,343.53
33,1512077,5539227,111022,39530,7,363,427.11
34,1559199,5712162,121079,42309,7,372,516.10
35,1606321,5885097,139309,46047,7,456,614.87
36,1653443,6058032,150765,44323,8,453,673.07
37,1700565,6230967,168918,45191,8,456,777.03
38,1747687,6403902,191486,49676,8,503,1052.30
39,1794809,6576837,213031,52483,8,528,1302.02
40,1841931,6749772,237342,56735,8,525,1590.22
41,1889053,6922707,256869,59961,9,572,1856.82
42,1936175,7095642,285638,65516,9,631,2356.45
43,1983297,7268577,303890,70316,9,658,2807.29
44,2030419,7441512,326448,67367,9,615,3165.45
