F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,1,0,0,0,0,4,0.02
2,3424,10424,0,0,0,4,0.02
3,5750,18386,0,0,0,4,0.02
4,8076,26348,2,1,0,5,0.02
5,10402,34310,4,2,0,5,0.02
6,12728,42272,12,9,0,5,0.03
7,15054,50234,17,13,0,6,0.03
8,17380,58196,92,87,0,6,0.04
9,19706,66158,95,89,0,6,0.04
10,22032,74120,603,596,0,6,0.08
11,24358,82082,612,604,0,6,0.09
12,26684,90044,2357,2348,0,8,0.27
13,29010,98006,2359,2349,0,9,0.28
14,31336,105968,6387,6376,0,13,0.87
15,33662,113930,6389,6377,0,13,0.88
16,35988,121892,17255,12893,0,20,3.06
17,38314,129854,17257,12894,0,21,3.07
18,40640,137816,60151,22636,0,38,13.84
19,42966,145778,60159,22643,0,38,13.84
20,45292,153740,165276,30189,0,49,46.81
21,47618,161702,165285,30197,0,49,46.82
22,49944,169664,489719,60842,0,114,184.15
23,52270,177626,489731,60853,0,118,184.17
24,54596,185588,1935764,97460,0,229,904.22
25,56922,193550,1935767,97462,0,229,904.22
26,59248,201512,4184310,134604,0,334,2341.11
27,61574,209474,4184316,134609,0,335,2341.13
