F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.09
1,1,0,0,0,0,0,0.09
2,1,0,0,0,1,0,0.09
3,1,0,0,0,1,0,0.10
4,1,0,0,0,1,0,0.10
5,1,0,0,0,1,0,0.10
6,1,0,0,0,2,0,0.11
7,1,0,0,0,2,0,0.11
8,1,0,0,0,2,0,0.11
9,1,0,0,0,2,0,0.12
10,1,0,0,0,3,0,0.13
11,1,0,0,0,3,0,0.13
12,1,0,0,0,3,0,0.14
13,1,0,0,0,3,0,0.14
14,1,0,0,0,4,0,0.14
15,1,0,0,0,4,0,0.15
16,1,0,0,0,4,0,0.15
17,1,0,0,0,4,0,0.16
18,1,0,0,0,4,0,0.16
19,1,0,0,0,5,0,0.17
20,1,0,0,0,5,0,0.17
21,1,0,0,0,5,0,0.17
22,1,0,0,0,5,0,0.18
23,1,0,0,0,6,0,0.18
24,1,0,0,0,6,0,0.18
25,1,0,0,0,6,0,0.18
26,1,0,0,0,6,0,0.19
27,1,0,0,0,7,0,0.19
28,1,0,0,0,7,0,0.19
29,1,0,0,0,7,0,0.19
30,1,0,0,0,7,0,0.20
31,1,0,0,0,8,0,0.20
32,1,0,0,0,8,0,0.20
33,1,0,0,0,8,0,0.20
34,1,0,0,0,8,0,0.21
35,1,0,0,0,8,0,0.21
36,1,0,0,0,9,0,0.21
37,1,0,0,0,9,0,0.21
38,131223,489436,14,12,9,0,0.64
39,151802,565504,2213,1106,9,0,1.05
40,178141,655869,8508,4441,10,0,3.05
41,203699,760486,14725,5311,10,0,5.95
42,229616,860400,23818,7012,10,0,11.43
43,255171,967068,36211,9561,10,0,21.51
44,287005,1097596,47109,19843,11,0,33.42
45,313326,1208785,76289,22064,11,0,78.33
46,339427,1319361,115409,23400,11,0,153.20
47,365921,1431482,151872,36575,11,0,235.06
48,392041,1542792,258397,59748,12,0,548.56
49,418558,1656026,328250,60245,12,0,694.77
50,444909,1768601,549284,63869,12,0,1587.41
51,471031,1880262,725983,77838,12,0,2094.68
52,497564,1993558,839339,69270,12,0,2376.30
53,523697,2105269,1177787,136088,13,0,3518.27
