F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,1,0,0,0,0,0,0.01
2,1,0,0,0,0,0,0.01
3,1,0,0,0,0,0,0.01
4,1,0,0,0,0,0,0.01
5,1,0,0,0,0,0,0.01
6,1377,3967,2,1,0,0,0.02
7,2705,9134,138,134,0,0,0.02
8,4169,15315,857,848,0,0,0.05
9,5633,21629,3216,2213,0,0,0.18
10,7097,27943,11034,7206,0,0,0.62
11,8561,34257,31871,15601,0,0,1.95
12,10025,40571,81741,28119,0,0,5.24
13,11489,46885,213199,45564,0,0,15.21
14,12953,53199,500924,64376,0,0,40.34
15,14417,59513,1168691,127292,0,0,104.19
16,15881,65827,2545326,220112,0,0,250.06
17,17345,72141,5509941,303544,0,0,608.62
18,18809,78455,12320598,270031,0,0,1548.20
19,20273,84769,23276484,530308,0,0,3294.33
