F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.04
1,1,0,0,0,0,0,0.04
2,1,0,0,0,0,0,0.04
3,1,0,0,0,0,0,0.04
4,1,0,0,0,0,0,0.04
5,1,0,0,0,1,0,0.04
6,1,0,0,0,1,0,0.04
7,1,0,0,0,1,0,0.04
8,2517,8980,28,27,1,0,0.04
9,4819,17883,58,56,1,0,0.05
10,11681,46394,97,94,1,0,0.06
11,19085,78777,180,176,1,0,0.08
12,26580,111974,388,383,1,0,0.10
13,34247,146057,524,518,1,0,0.13
14,44554,191501,929,922,1,0,0.18
15,54633,236942,1132,1124,2,0,0.22
16,68504,299088,1313,1304,2,0,0.26
17,81713,358918,1546,1536,2,0,0.29
18,95005,419271,1882,1871,2,0,0.38
19,113711,503591,2145,1152,2,0,0.46
20,128229,569513,2451,1453,2,0,0.54
21,143582,639333,2921,1917,2,0,0.70
22,158799,708904,3222,2202,2,0,0.80
23,174184,779541,3513,2489,2,0,0.88
24,189698,850739,3709,2680,2,0,0.93
25,205257,922196,3921,2891,3,0,0.98
26,220826,993716,4329,3296,3,0,1.08
27,236395,1065245,4658,3623,3,0,1.13
28,251964,1136774,4967,3931,3,0,1.18
29,267533,1208303,5377,4334,3,0,1.25
30,283102,1279832,5942,4870,3,0,1.37
31,298671,1351361,6186,5105,3,0,1.43
32,314240,1422890,7153,6058,3,0,1.87
33,329809,1494419,9057,4293,3,0,3.59
34,345378,1565948,9852,5086,3,0,3.95
35,360947,1637477,11766,6960,3,0,5.15
36,376516,1709006,12342,7535,4,0,5.37
37,392085,1780535,12784,7975,4,0,5.44
38,407654,1852064,13019,8209,4,0,5.49
39,423223,1923593,13271,8460,4,0,5.53
40,438792,1995122,13588,8776,4,0,5.58
41,454361,2066651,17256,12433,4,0,8.68
42,469930,2138180,18115,13290,4,0,9.06
43,485499,2209709,28514,16138,4,0,16.29
44,501068,2281238,29059,16682,4,0,16.40
45,516637,2352767,29384,17003,4,0,16.49
46,532206,2424296,32753,20351,5,0,19.03
47,547775,2495825,33942,21534,5,0,19.61
48,563344,2567354,34836,22420,5,0,19.84
49,578913,2638883,35117,22699,5,0,19.94
50,594482,2710412,35412,22993,5,0,20.01
51,610051,2781941,36514,12583,5,0,20.48
52,625620,2853470,52692,28718,5,0,31.56
53,641189,2924999,52911,28936,5,0,31.61
54,656758,2996528,53130,29154,5,0,31.68
55,672327,3068057,53394,29417,5,0,31.75
56,687896,3139586,53664,29686,5,0,31.84
57,703465,3211115,54695,30699,6,0,33.63
58,719034,3282644,54933,30936,6,0,33.67
59,734603,3354173,66092,26400,6,0,42.42
60,750172,3425702,66262,26569,6,0,42.47
61,765741,3497231,350609,74760,6,0,287.55
62,781310,3568760,360905,85008,6,0,300.77
63,796879,3640289,361290,85392,6,0,300.82
64,812448,3711818,368956,93017,6,0,308.26
65,828017,3783347,369187,93247,6,0,308.32
66,843586,3854876,554980,112837,6,0,453.84
67,859155,3926405,555407,113263,7,0,454.00
68,874724,3997934,564467,122311,7,0,460.24
69,890293,4069463,570534,128377,7,0,465.93
70,905862,4140992,573697,131535,7,0,467.30
71,921431,4212521,579642,137431,7,0,470.76
72,937000,4284050,580131,137919,7,0,470.83
73,952569,4355579,580547,138334,7,0,470.90
74,968138,4427108,580881,138667,7,0,470.94
75,983707,4498637,1320908,146585,7,0,1083.33
76,999276,4570166,1321999,147675,7,0,1083.48
77,1014845,4641695,1909250,290426,8,0,1587.38
78,1030414,4713224,1987260,245834,8,0,1662.63
79,1045983,4784753,2157329,288795,8,0,1843.94
80,1061552,4856282,2158605,290066,8,0,1844.40
81,1077121,4927811,2159201,290661,8,0,1844.48
82,1092690,4999340,2162036,293472,8,0,1847.34
83,1108259,5070869,2717664,301902,8,0,2408.83
84,1123828,5142398,2728434,312671,8,0,2421.27
85,1139397,5213927,2738664,322893,8,0,2426.76
86,1154966,5285456,2751272,335500,8,0,2430.61
87,1170535,5356985,2751520,335747,8,0,2430.68
88,1186104,5428514,2889347,327580,9,0,2533.50
89,1201673,5500043,2889571,327803,9,0,2533.55
90,1217242,5571572,2890131,328362,9,0,2533.71
91,1232811,5643101,2891719,329947,9,0,2533.91
92,1248380,5714630,2892231,330458,9,0,2534.13
93,1263949,5786159,2907271,345476,9,0,2547.00
94,1279518,5857688,2988565,277177,9,0,2604.35
95,1295087,5929217,2988926,277537,9,0,2604.47
96,1310656,6000746,2989240,277850,9,0,2604.68
97,1326225,6072275,2990233,278841,9,0,2604.90
98,1341794,6143804,2992089,280696,10,0,2605.37
99,1357363,6215333,2992348,280954,10,0,2605.43
100,1372932,6286862,2992784,281389,10,0,2605.50
101,1388501,6358391,2993048,281652,10,0,2605.56
102,1404070,6429920,2994518,283121,10,0,2605.85
103,1419639,6501449,3085823,374387,10,0,2682.52
104,1435208,6572978,3319361,292093,10,0,2879.36
105,1450777,6644507,3319665,292396,10,0,2879.42
106,1466346,6716036,3319920,292650,10,0,2879.47
107,1481915,6787565,3320228,292957,10,0,2879.53
108,1497484,6859094,3321441,294169,10,0,2879.66
109,1513053,6930623,3403252,375933,11,0,2948.24
110,1528622,7002152,3429841,402441,11,0,2964.40
111,1544191,7073681,3430143,402742,11,0,2964.46
112,1559760,7145210,3430525,403123,11,0,2964.56
113,1575329,7216739,3430746,403343,11,0,2964.60
114,1590898,7288268,3431015,403611,11,0,2964.65
115,1606467,7359797,3431257,403852,11,0,2964.69
116,1622036,7431326,3431497,404091,11,0,2964.73
117,1637605,7502855,3431836,404429,11,0,2964.78
118,1653174,7574384,3457774,430352,11,0,2989.33
119,1668743,7645913,3458749,431326,12,0,2989.98
120,1684312,7717442,3459037,431613,12,0,2990.05
121,1699881,7788971,3459351,431926,12,0,2990.15
122,1715450,7860500,3459681,432255,12,0,2990.21
123,1731019,7932029,3461573,434146,12,0,2990.48
124,1746588,8003558,3960608,435392,12,0,3415.18
125,1762157,8075087,3960900,435683,12,0,3415.27
126,1777726,8146616,3961987,436769,12,0,3415.59
127,1793295,8218145,3962223,437004,12,0,3415.66
128,1808864,8289674,3963027,437807,12,0,3415.82
129,1824433,8361203,3963545,438324,13,0,3415.89
130,1840002,8432732,3963992,438770,13,0,3415.97
131,1855571,8504261,3964535,439312,13,0,3416.12
132,1871140,8575790,3965083,439859,13,0,3416.23
133,1886709,8647319,3965519,440294,13,0,3416.34
134,1902278,8718848,3966035,440809,13,0,3416.50
135,1917847,8790377,4132341,427557,13,0,3568.73
136,1933416,8861906,4132804,428019,13,0,3569.24
