F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,1,0,0,0,0,0,0.02
2,1,0,0,0,0,0,0.02
3,1,0,0,0,0,0,0.02
4,1,0,0,0,0,0,0.02
5,1,0,0,0,0,0,0.02
6,1,0,0,0,0,0,0.02
7,1,0,0,0,0,0,0.02
8,1,0,0,0,1,0,0.02
9,1,0,0,0,1,0,0.02
10,1,0,0,0,1,0,0.02
11,1,0,0,0,1,0,0.02
12,1,0,0,0,1,0,0.02
13,1,0,0,0,1,0,0.02
14,1,0,0,0,1,0,0.02
15,1,0,0,0,1,0,0.02
16,1,0,0,0,1,0,0.03
17,1,0,0,0,1,0,0.03
18,1,0,0,0,1,0,0.03
19,1,0,0,0,1,0,0.03
20,1547,5934,2,0,1,0,0.03
21,1939,7475,7,2,1,0,0.03
22,2588,9989,13,3,1,0,0.03
23,3098,12029,15,3,1,0,0.03
24,3589,14009,17,3,2,0,0.03
25,4096,16040,24,5,2,0,0.03
26,4516,17696,35,12,2,0,0.04
27,5078,19954,38,13,2,0,0.04
28,5733,22564,55,25,2,0,0.04
29,6337,24996,57,25,2,0,0.04
30,6978,27606,69,34,2,0,0.04
31,8415,33068,78,35,2,0,0.05
32,9348,36796,80,35,2,0,0.05
33,10382,40914,83,36,2,0,0.05
34,11972,46730,85,36,2,0,0.05
35,15201,58662,97,46,2,0,0.06
36,17152,66264,101,48,2,0,0.06
37,19097,73950,105,50,2,0,0.07
38,21143,82133,108,51,2,0,0.07
39,29543,114675,128,69,2,0,0.09
40,34855,136006,132,71,2,0,0.10
41,38138,149531,142,79,3,0,0.11
42,42082,165898,196,128,3,0,0.12
43,48993,194004,207,134,3,0,0.14
44,52592,209127,222,145,3,0,0.16
45,56641,226225,225,146,3,0,0.17
46,60469,242405,230,148,3,0,0.18
47,64588,259828,233,149,3,0,0.19
48,68884,277886,236,150,3,0,0.21
49,73183,296048,238,150,3,0,0.22
50,77076,312589,240,150,3,0,0.24
51,81345,330744,245,153,3,0,0.26
52,85352,347767,247,153,3,0,0.27
53,90107,367736,249,153,3,0,0.29
54,94556,386558,251,153,3,0,0.31
55,98898,405042,253,153,3,0,0.33
56,104817,429867,255,153,3,0,0.35
57,109842,451247,260,156,3,0,0.37
58,114537,471224,264,158,4,0,0.39
59,119592,492699,266,158,4,0,0.40
60,124535,513723,268,158,4,0,0.42
61,129269,533880,271,159,4,0,0.44
62,134003,554029,273,159,4,0,0.46
63,139113,575761,276,160,4,0,0.48
64,143881,596040,306,185,4,0,0.51
65,148969,617664,350,224,4,0,0.58
66,153916,638708,352,224,4,0,0.60
