F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,320,462,1,0,0,0,0.02
2,1810,6276,2,0,0,0,0.02
3,3300,12090,3,0,0,0,0.02
4,4790,17904,4,0,0,0,0.02
5,6280,23718,5,0,0,0,0.03
6,7770,29532,6,0,0,0,0.03
7,9260,35346,9,2,0,0,0.03
8,10750,41160,11,3,0,0,0.04
9,12240,46974,15,6,0,0,0.04
10,13730,52788,24,14,0,0,0.05
11,15220,58602,27,16,0,0,0.05
12,16710,64416,31,19,0,0,0.05
13,18200,70230,34,21,0,0,0.06
14,19690,76044,53,39,0,0,0.07
15,21180,81858,59,44,0,0,0.07
16,22670,87672,64,48,0,0,0.08
17,24160,93486,72,55,0,0,0.08
18,25650,99300,78,60,0,0,0.09
19,27140,105114,89,70,0,0,0.09
20,28630,110928,96,76,0,0,0.10
21,30120,116742,120,99,0,0,0.11
22,31610,122556,128,106,0,0,0.12
23,33100,128370,136,113,0,0,0.12
24,34590,134184,142,118,0,0,0.13
25,36080,139998,161,136,0,0,0.14
26,37570,145812,345,319,0,0,0.16
27,39060,151626,391,364,0,0,0.17
28,40550,157440,404,376,0,0,0.18
29,42040,163254,496,467,0,0,0.19
30,43530,169068,576,546,0,0,0.21
31,45020,174882,695,664,0,0,0.23
32,46510,180696,702,670,0,0,0.24
33,48000,186510,721,688,0,0,0.25
34,49490,192324,766,732,0,0,0.27
35,50980,198138,833,798,0,0,0.28
36,52470,203952,903,867,0,0,0.30
37,53960,209766,940,903,0,0,0.31
38,55450,215580,975,937,0,0,0.33
39,56940,221394,1051,1012,0,0,0.35
40,58430,227208,1207,1167,0,0,0.39
41,59920,233022,1337,1296,0,0,0.43
42,61410,238836,1490,1448,0,0,0.46
43,62900,244650,1743,1700,0,0,0.55
44,64390,250464,1871,1827,0,0,0.61
45,65880,256278,1993,1948,0,0,0.67
46,67370,262092,2132,1118,0,0,0.74
47,68860,267906,2400,1385,0,0,0.87
48,70350,273720,3047,2031,0,0,1.15
49,71840,279534,3813,2796,0,0,1.58
50,73330,285348,4316,3298,0,0,1.81
51,74820,291162,4553,3534,0,0,1.92
52,76310,296976,4934,3914,0,0,2.18
53,77800,302790,5236,4215,0,0,2.48
54,79290,308604,5944,4922,0,0,3.24
55,80780,314418,8770,4010,0,0,5.57
56,82270,320232,16518,11757,0,0,14.68
57,83760,326046,22417,10160,0,0,23.00
58,85250,331860,27813,15555,0,0,29.86
59,86740,337674,32071,10150,0,0,35.37
60,88230,343488,34830,12908,0,0,39.30
61,89720,349302,40461,18538,0,0,47.54
62,91210,355116,46973,13018,0,0,57.25
63,92700,360930,51602,17646,0,0,64.58
64,94190,366744,51954,17997,0,0,65.22
65,95680,372558,52496,18538,0,0,66.15
66,97170,378372,56474,22515,0,0,71.82
67,98660,384186,57314,23354,1,0,72.69
68,100150,390000,57347,23386,1,0,72.70
69,101640,395814,66134,17665,1,0,85.62
70,103130,401628,73701,25231,1,0,98.52
71,104620,407442,79509,31038,1,0,108.64
72,106110,413256,81750,33278,1,0,113.52
73,107600,419070,87103,21590,1,0,122.30
74,109090,424884,88807,23293,1,0,125.28
75,110580,430698,90842,25327,1,0,127.65
76,112070,436512,98564,33048,1,0,138.80
77,113560,442326,102615,37098,1,0,146.38
78,115050,448140,102858,37340,1,0,146.76
79,116540,453954,106810,21661,1,0,153.72
80,118030,459768,108884,23734,1,0,156.07
81,119520,465582,109594,24443,1,0,156.87
82,121010,471396,112300,27148,1,0,161.17
83,122500,477210,114146,28993,1,0,163.67
84,123990,483024,114187,29033,1,0,163.69
85,125480,488838,114222,29067,1,0,163.70
86,126970,494652,114261,29105,1,0,163.73
87,128460,500466,114292,29135,1,0,163.75
88,129950,506280,114333,29175,1,0,163.78
89,131440,512094,114408,29249,1,0,163.83
90,132930,517908,116223,31063,1,0,165.67
91,134420,523722,117508,32347,1,0,167.30
92,135910,529536,118639,33477,1,0,168.39
93,137400,535350,118961,33798,1,0,168.51
94,138890,541164,119218,34054,1,0,168.67
95,140380,546978,119251,34086,1,0,168.70
96,141870,552792,120156,34990,1,0,169.71
97,143360,558606,122483,37316,1,0,172.43
98,144850,564420,122579,37411,1,0,172.65
99,146340,570234,123505,38336,1,0,174.21
100,147830,576048,124345,39175,1,0,175.35
101,149320,581862,124997,39826,1,0,176.67
102,150810,587676,125492,40320,1,0,177.55
103,152300,593490,129600,22214,1,0,184.32
104,153790,599304,131274,23887,1,0,187.03
105,155280,605118,132158,24770,1,0,188.76
106,156770,610932,133544,26155,1,0,190.79
107,158260,616746,135567,28177,1,0,194.18
108,159750,622560,136034,28643,1,0,195.06
109,161240,628374,137214,29822,1,0,197.51
110,162730,634188,137640,30247,1,0,197.91
111,164220,640002,137663,30269,1,0,197.93
112,165710,645816,137673,30278,1,0,197.95
113,167200,651630,137705,30309,1,0,197.97
114,168690,657444,137726,30329,1,0,197.99
115,170180,663258,137773,30375,1,0,198.04
116,171670,669072,137810,30411,1,0,198.08
117,173160,674886,137916,30516,1,0,198.23
118,174650,680700,138537,31136,1,0,199.15
119,176140,686514,138561,31159,1,0,199.17
120,177630,692328,141156,33753,1,0,202.69
121,179120,698142,141181,33777,1,0,202.72
122,180610,703956,141206,33801,1,0,202.74
123,182100,709770,141237,33831,1,0,202.76
124,183590,715584,141254,33847,1,0,202.79
125,185080,721398,141265,33857,1,0,202.81
126,186570,727212,141341,33932,1,0,202.84
127,188060,733026,141382,33972,1,0,202.86
128,189550,738840,141404,33993,1,0,202.89
129,191040,744654,141438,34026,1,0,202.93
130,192530,750468,142937,35524,1,0,205.48
131,194020,756282,143028,35614,1,0,205.54
132,195510,762096,143044,35629,1,0,205.58
133,197000,767910,143090,35674,1,0,205.61
134,198490,773724,143132,35715,1,0,205.63
135,199980,779538,143175,35757,1,0,205.69
136,201470,785352,143228,35809,1,0,205.73
137,202960,791166,143244,35824,1,0,205.77
138,204450,796980,143285,35864,1,0,205.89
139,205940,802794,143291,35869,1,0,205.91
140,207430,808608,143309,35886,1,0,205.94
141,208920,814422,143327,35903,1,0,205.96
142,210410,820236,143422,35997,1,0,206.00
143,211900,826050,143488,36062,1,0,206.04
144,213390,831864,143545,36118,1,0,206.08
145,214880,837678,143560,36132,1,0,206.11
146,216370,843492,143631,36202,1,0,206.20
147,217860,849306,143651,36221,1,0,206.21
148,219350,855120,143684,36253,1,0,206.23
149,220840,860934,143711,36279,1,0,206.25
150,222330,866748,143788,36355,1,0,206.29
