F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,240,740,1,0,0,0,0.02
2,648,2219,2,0,0,0,0.02
3,1211,4398,3,0,0,0,0.02
4,1809,6736,4,0,0,0,0.02
5,2468,9337,11,6,0,0,0.02
6,3181,12174,25,19,0,0,0.02
7,3952,15258,90,83,0,0,0.03
8,4777,18577,236,228,0,0,0.03
9,5658,22137,553,544,0,0,0.05
10,6593,25932,1135,1125,0,0,0.08
11,7588,29980,2825,1821,0,0,0.19
12,8637,34263,4929,3924,0,0,0.36
13,9742,38787,9837,6041,0,0,0.85
14,10901,43546,19836,11046,0,0,2.38
15,12118,48552,34756,18579,0,0,4.85
16,13389,53793,58610,20079,0,0,10.52
17,14716,59275,93836,22653,0,0,19.55
18,16097,64992,165562,25989,0,0,41.56
19,17536,70956,288431,57043,0,0,84.90
20,19029,77155,500462,64075,0,0,174.79
21,20578,83595,830936,62761,0,0,334.40
22,22185,90298,1372890,99337,0,0,658.01
23,23810,97086,2159385,152234,0,0,1195.77
24,25437,103882,3140723,233551,0,0,1971.54
25,27064,110678,4485763,219606,0,0,3168.05
