F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,434,558,1,0,0,0,0.02
2,3777,13521,2,0,0,0,0.02
3,7120,26484,3,0,0,0,0.03
4,10463,39447,4,0,0,0,0.04
5,13806,52410,8,3,0,0,0.05
6,17149,65373,21,15,0,0,0.06
7,20492,78336,114,107,0,0,0.08
8,23835,91299,562,554,0,0,0.18
9,27178,104262,2343,1337,0,0,0.66
10,30521,117225,5180,4168,0,0,1.44
11,33864,130188,12873,9065,0,0,3.74
12,37207,143151,27823,11663,0,0,9.81
13,40550,156114,50908,24844,0,0,20.91
14,43893,169077,89314,18196,0,0,44.72
15,47236,182040,146156,32085,0,0,84.39
16,50579,195003,235513,37463,0,0,170.16
17,53922,207966,340882,73824,0,0,271.66
18,57265,220929,507949,71755,0,0,464.51
19,60608,233892,678800,88367,0,0,668.43
20,63951,246855,921317,88953,0,0,999.77
21,67294,259818,1201512,85573,0,0,1433.19
22,70637,272781,1598681,157542,0,0,2183.49
23,73980,285744,2039649,133659,0,0,3082.80
