F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,1,0,0,0,0,0,0.01
2,1198,4115,1,0,0,0,0.02
3,2444,8731,2,0,0,0,0.02
4,4137,15120,3,0,0,0,0.02
5,6145,22789,4,0,0,0,0.02
6,8360,31459,5,0,0,0,0.03
7,10627,40439,6,0,0,0,0.03
8,12936,49611,7,0,0,0,0.03
9,15269,58916,10,2,0,0,0.04
10,17602,68265,14,5,0,0,0.04
11,19935,77614,30,20,0,0,0.05
12,22268,86963,51,40,0,0,0.06
13,24601,96312,130,118,0,0,0.08
14,26934,105661,230,217,0,0,0.09
15,29267,115010,413,399,0,0,0.12
16,31600,124359,559,544,0,0,0.16
17,33933,133708,808,792,0,0,0.21
18,36266,143057,1198,1181,0,0,0.29
19,38599,152406,1696,1678,0,0,0.43
20,40932,161755,2454,1445,0,0,0.62
21,43265,171104,3587,2577,0,0,1.00
22,45598,180453,4653,3642,0,0,1.45
23,47931,189802,5922,4910,0,0,1.97
24,50264,199151,9629,5828,0,0,3.55
25,52597,208500,14741,5948,0,0,6.72
26,54930,217849,20323,11529,0,0,10.52
27,57263,227198,25329,9147,0,0,13.28
28,59596,236547,30409,14226,0,0,17.36
29,61929,245896,34983,18798,0,0,20.47
30,64262,255245,39943,13857,0,0,25.26
31,66595,264594,47113,21025,0,0,31.33
32,68928,273943,53042,14504,0,0,36.56
33,71261,283292,60300,21759,0,0,45.17
34,73594,292641,67384,28840,0,0,54.76
35,75927,301990,76645,23094,0,0,68.36
36,78260,311339,86737,33183,0,0,83.61
37,80593,320688,102282,31142,0,0,110.93
38,82926,330037,118997,27660,0,0,141.43
39,85259,339386,135115,43774,0,0,180.39
40,87592,348735,164407,50261,0,0,260.00
41,89925,358084,190621,51094,1,0,326.40
42,92258,367433,227912,60390,1,0,452.07
43,94591,376782,287758,56415,1,0,660.69
44,96924,386131,371131,65631,1,0,977.81
45,99257,395480,451129,61015,1,0,1310.65
46,101590,404829,536748,51667,1,0,1706.46
47,103923,414165,629131,92604,1,0,2153.03
48,106256,423514,752508,105376,1,0,2735.86
49,108589,432850,891325,123209,1,0,3350.00
