F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,23,60,1,0,0,0,0.02
2,733,2361,2,0,0,0,0.02
3,2192,7966,19,16,0,0,0.03
4,3716,13957,33,29,0,0,0.03
5,5240,19948,67,62,0,0,0.03
6,6764,25939,166,160,0,0,0.04
7,8288,31930,303,296,0,0,0.05
8,9812,37921,562,554,0,0,0.07
9,11336,43912,1529,1520,0,0,0.11
10,12860,49903,2271,1266,0,0,0.15
11,14384,55894,3757,2751,0,0,0.24
12,15908,61885,5633,4626,0,0,0.36
13,17432,67876,8810,5008,0,0,0.60
14,18956,73867,10627,6824,0,0,0.73
15,20480,79858,12564,8760,0,0,0.91
16,22004,85849,16957,8167,0,0,1.38
17,23528,91840,22258,13467,0,0,2.08
18,25052,97831,31159,14971,0,0,3.10
19,26576,103822,42507,16416,0,0,4.68
20,28100,109813,58313,19796,0,0,7.09
21,29624,115804,97136,25996,0,0,15.04
22,31148,121795,157875,43726,0,0,30.53
23,32672,127786,243859,45704,0,0,53.17
24,34196,133777,389309,42789,0,0,99.24
25,35720,139768,502436,66133,0,0,136.20
26,37244,145759,654709,66657,0,0,189.59
27,38768,151750,793552,91191,0,0,242.11
28,40292,157741,981021,88800,0,0,334.51
29,41816,163732,1294342,111159,0,0,501.65
30,43340,169723,1651648,133701,0,0,748.03
31,44864,175714,2203710,208461,0,0,1151.95
32,46388,181705,2832155,182608,0,0,1641.94
33,47912,187696,3540440,275106,0,0,2278.47
34,49436,193687,4614066,218418,0,0,3381.97
