F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.07
1,2183,2779,1,0,0,0,0.07
2,23927,82085,2,0,0,0,0.12
3,45671,161391,18,15,0,0,0.18
4,67415,240697,120,116,0,0,0.27
5,89159,320003,261,256,1,0,0.40
6,110903,399309,688,680,1,0,0.76
7,132647,478615,1283,1270,1,0,1.08
8,154391,557921,2208,1261,1,0,1.86
9,176135,637227,3444,2496,1,0,3.29
10,197879,716533,4782,3833,1,0,4.61
11,219623,795839,6715,5763,1,0,7.45
12,241367,875145,9317,4866,1,0,12.50
13,263111,954451,11661,7209,1,0,16.81
14,284855,1033757,15193,10740,1,0,26.85
15,306599,1113063,19220,14764,2,0,36.84
16,328343,1192369,24464,12716,2,0,54.82
17,350087,1271675,30359,18610,2,0,77.21
18,371831,1350981,38199,15660,2,0,103.55
19,393575,1430287,46328,23788,2,0,133.42
20,415319,1509593,55473,32932,2,0,173.39
21,437063,1588899,65546,27669,2,0,217.77
22,458807,1668205,77865,39987,2,0,278.50
23,480551,1747511,92498,35111,2,0,356.72
24,502295,1826817,107888,50500,2,0,451.53
25,524039,1906123,128550,48267,2,0,582.90
26,545783,1985429,152562,44317,3,0,791.24
27,567527,2064735,178661,70415,3,0,1027.65
28,589271,2144041,207129,67314,3,0,1349.92
29,611015,2223347,245662,69165,3,0,1787.76
30,632759,2302653,287112,70610,3,0,2344.17
31,654503,2381959,329637,68036,3,0,3068.10
