F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,4594,16552,1,0,0,0,0.04
2,9305,34322,4,2,0,0,0.05
3,14016,52092,32,29,0,0,0.06
4,18727,69862,125,121,0,0,0.07
5,23438,87632,224,219,0,0,0.09
6,28149,105402,691,685,0,0,0.13
7,32860,123172,768,761,0,0,0.15
8,37571,140942,954,946,0,0,0.17
9,42282,158712,1314,1305,0,0,0.22
10,46993,176482,1869,1859,0,0,0.32
11,51704,194252,2587,1586,0,0,0.46
12,56415,212022,5372,4370,0,0,0.90
13,61126,229792,7882,6879,0,0,1.42
14,65837,247562,16117,11321,0,0,3.21
15,70548,265332,55032,24954,0,0,12.62
16,75259,283102,105783,27648,0,0,32.14
17,79970,300872,223398,47986,0,0,100.61
18,84681,318642,658567,110727,0,0,533.75
19,89392,336412,1384741,177988,0,0,1330.49
20,94103,354182,2271300,152066,0,0,2469.72
