F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,2542,9020,1,0,0,0,0.02
2,5162,18727,2,0,0,0,0.02
3,7782,28434,7,4,0,0,0.03
4,10402,38141,129,125,0,0,0.04
5,13022,47848,899,894,0,0,0.10
6,15642,57555,3613,2615,0,0,0.31
7,18262,67262,13769,9971,0,0,1.32
8,20882,76969,43644,17550,0,0,7.00
9,23502,86676,114530,23150,0,0,22.64
10,26122,96383,305133,37947,0,0,80.24
11,28742,106090,821396,115004,0,0,284.98
12,31362,115797,1639483,110299,0,0,729.79
13,33982,125504,3063060,155874,0,0,1691.01
