F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.05
1,20204,76227,1,0,0,0,0.08
2,40493,153163,2,0,0,0,0.10
3,60782,230099,3,0,0,0,0.13
4,81071,307035,4,0,0,0,0.16
5,101360,383971,9,4,0,0,0.20
6,121649,460907,39,33,1,0,0.24
7,141938,537843,185,178,1,0,0.35
8,162227,614779,412,404,1,0,0.58
9,182516,691715,733,724,1,0,1.03
10,202805,768651,1388,1378,1,0,1.98
11,223094,845587,2543,1552,1,0,3.56
12,243383,922523,3936,2937,1,0,5.84
13,263672,999459,5955,4955,1,0,9.39
14,283961,1076395,9239,5463,1,0,14.66
15,304250,1153331,15040,6263,1,0,25.69
16,324539,1230267,22296,13518,1,0,41.32
17,344828,1307203,39525,13470,1,0,83.64
18,365117,1384139,61773,23247,2,0,134.10
19,385406,1461075,89549,18389,2,0,201.30
20,405695,1538011,132908,41548,2,0,310.91
21,425984,1614947,225665,58125,2,0,577.53
22,446273,1691883,335716,68627,2,0,908.60
23,466562,1768819,494510,58205,2,0,1437.26
24,486851,1845755,680141,89646,2,0,2102.71
25,507140,1922691,898717,66244,2,0,2975.11
