F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.05
1,11269,39615,1,0,0,0,0.06
2,22668,80200,2,0,0,0,0.08
3,34067,120785,3,0,0,0,0.11
4,45466,161370,219,215,0,0,0.16
5,56865,201955,611,606,0,0,0.30
6,68264,242540,2611,1615,0,0,0.85
7,79663,283125,8232,4422,0,0,2.67
8,91062,323710,18664,9856,0,0,6.56
9,102461,364295,33083,16887,0,0,14.19
10,113860,404880,52399,13864,1,0,27.38
11,125259,445465,81629,28064,1,0,50.43
12,136658,486050,110868,39694,1,0,72.84
13,148057,526635,154189,40016,1,0,113.65
14,159456,567220,212930,45386,1,0,177.34
15,170855,607805,288149,56783,1,0,278.86
16,182254,648390,408640,62088,1,0,457.79
17,193653,688975,525648,89277,1,0,667.69
18,205052,729560,731778,84626,1,0,1062.82
19,216451,770145,966035,133462,1,0,1601.63
20,227850,810730,1228465,112322,1,0,2203.43
21,239249,851315,1504471,148334,1,0,2890.53
