F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,602,2011,1,0,0,0,0.03
2,1505,5405,2,0,0,0,0.03
3,3072,11501,3,0,0,0,0.03
4,5562,21880,4,0,0,0,0.04
5,8644,34652,5,0,0,0,0.05
6,12110,48928,6,0,0,0,0.06
7,15983,64814,7,0,0,0,0.07
8,20292,82445,8,0,0,0,0.08
9,25087,102066,9,0,0,0,0.09
10,30395,123815,10,0,0,0,0.11
11,36060,147170,11,0,0,0,0.13
12,41980,171671,12,0,0,0,0.15
13,48128,197176,13,0,0,0,0.17
14,54475,223549,14,0,1,0,0.19
15,60988,250657,15,0,1,0,0.22
16,67609,278260,16,0,1,0,0.25
17,74284,306122,17,0,1,0,0.27
18,80984,334108,18,0,1,0,0.30
19,87684,362104,19,0,1,0,0.33
20,94384,390103,20,0,1,0,0.36
21,101084,418102,21,0,1,0,0.39
22,107784,446101,22,0,1,0,0.43
23,114484,474100,23,0,1,0,0.46
24,121184,502099,24,0,1,0,0.49
25,127884,530098,25,0,1,0,0.53
26,134584,558097,26,0,1,0,0.56
27,141284,586096,27,0,1,0,0.60
28,147984,614095,28,0,1,0,0.64
29,154684,642094,33,4,1,0,0.69
30,161384,670093,39,9,1,0,0.73
31,168084,698092,49,18,1,0,0.79
32,174784,726091,69,37,1,0,0.85
33,181484,754090,122,89,1,0,0.90
34,188184,782089,180,146,1,0,0.96
35,194884,810088,277,242,1,0,1.01
36,201584,838087,371,335,1,0,1.05
37,208284,866086,546,509,1,0,1.10
38,214984,894085,846,808,1,0,1.16
39,221684,922084,1122,1083,1,0,1.25
40,228384,950083,1481,1441,1,0,1.42
41,235084,978082,1849,1808,1,0,1.52
42,241784,1006081,2291,1273,1,0,1.75
43,248484,1034080,2765,1746,1,0,2.14
44,255184,1062079,2988,1968,2,0,2.37
45,261884,1090078,3908,2887,2,0,2.92
46,268584,1118077,4752,3730,2,0,3.49
47,275284,1146076,5212,4189,2,0,4.01
48,281984,1174075,5473,4449,2,0,4.15
49,288684,1202074,5602,4577,2,0,4.40
50,295384,1230073,5656,4630,2,0,4.67
51,302084,1258072,5776,4749,2,0,4.91
52,308784,1286071,5849,4821,2,0,5.01
53,315484,1314070,5960,4931,2,0,5.20
54,322184,1342069,6450,5420,2,0,5.36
55,328884,1370068,6590,5559,2,0,5.64
56,335584,1398067,6982,3179,2,0,5.96
57,342284,1426066,7341,3537,2,0,6.35
58,348984,1454065,7759,3954,2,0,6.63
59,355684,1482064,8063,4257,2,0,7.32
60,362384,1510063,8626,4819,2,0,7.90
61,369084,1538062,9952,6144,2,0,10.56
62,375784,1566061,10651,6842,2,0,12.91
63,382484,1594060,11577,7767,2,0,16.17
64,389184,1622059,12778,8967,2,0,20.74
65,395884,1650058,13822,5036,2,0,26.25
66,402584,1678057,14599,5812,2,0,28.89
67,409284,1706056,15486,6698,2,0,33.53
68,415984,1734055,16321,7532,2,0,38.28
69,422684,1762054,17217,8427,2,0,43.67
70,429384,1790053,19371,10580,2,0,55.81
71,436084,1818052,21367,12575,2,0,68.45
72,442784,1846051,23702,14909,2,0,91.13
73,449484,1874050,26907,18113,2,0,116.22
74,456184,1902049,29689,11496,3,0,139.45
75,462884,1930048,31806,13612,3,0,157.97
76,469584,1958047,34222,16027,3,0,175.25
77,476284,1986046,35833,17637,3,0,187.00
78,482984,2014045,36975,18778,3,0,192.70
79,489684,2042044,37607,19409,3,0,197.16
80,496384,2070043,39303,21104,3,0,203.04
81,503084,2098042,40654,22454,3,0,218.90
82,509784,2126041,43094,13517,3,0,233.90
83,516484,2154040,44528,14950,3,0,239.34
84,523184,2182039,45541,15962,3,0,243.08
85,529884,2210038,47350,17770,3,0,252.19
86,536584,2238037,49107,19526,3,0,271.22
87,543284,2266036,50166,20584,3,0,278.76
88,549984,2294035,51796,22213,3,0,291.76
89,556684,2322034,53882,24298,3,0,307.70
90,563384,2350033,55811,26226,3,0,328.08
91,570084,2378032,59580,17259,3,0,373.93
92,576784,2406031,63523,21201,3,0,416.57
93,583484,2434030,67680,25357,3,0,480.55
94,590184,2462029,71845,29521,3,0,564.35
95,596884,2490028,76728,34403,3,0,655.18
96,603584,2518027,82982,22489,3,0,750.88
97,610284,2546026,92063,31569,3,0,926.14
98,616984,2574025,99024,38529,3,0,1066.70
99,623684,2602024,110075,29255,3,0,1260.94
100,630384,2630023,118162,37341,3,0,1472.78
101,637084,2658022,126371,45549,3,0,1677.31
102,643784,2686021,138095,36176,3,0,1935.68
103,650484,2714020,151463,49543,4,0,2320.37
104,657184,2742019,167404,41911,4,0,2679.10
105,663884,2770018,182318,56824,4,0,3063.09
106,670584,2798017,200649,48616,4,0,3515.33
