F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.11
1,33664,117777,1,0,0,0,0.17
2,67511,237447,2,0,0,0,0.24
3,101358,357117,3,0,1,0,0.31
4,135205,476787,5,1,1,0,0.39
5,169052,596457,16,11,1,0,0.48
6,202899,716127,41,35,1,0,0.58
7,236746,835797,1686,1679,1,0,1.87
8,270593,955467,4573,3590,1,0,4.79
9,304440,1075137,7720,6736,1,0,8.07
10,338287,1194807,12010,7217,1,0,12.91
11,372134,1314477,16982,12188,2,0,18.84
12,405981,1434147,23764,11755,2,0,26.99
13,439828,1553817,32394,20384,2,0,40.05
14,473675,1673487,46360,22625,2,0,62.61
15,507522,1793157,60491,21280,2,0,85.77
16,541369,1912827,80655,41443,2,0,120.70
17,575216,2032497,109452,28328,2,0,176.52
18,609063,2152167,134523,53398,3,0,223.92
19,642910,2271837,179220,39268,3,0,326.69
20,676757,2391507,242872,70663,3,0,488.58
21,710604,2511177,311600,57852,3,0,676.66
22,744451,2630847,396606,100491,3,0,954.89
23,778298,2750517,510978,72475,3,0,1378.24
24,812145,2870187,560082,121578,3,0,1497.72
25,845992,2989857,620226,119327,4,0,1672.29
26,879839,3109527,698208,130269,4,0,1932.85
27,913686,3229197,776905,136620,4,0,2197.66
28,947533,3348867,894966,178279,4,0,2604.72
29,981380,3468537,974544,175732,4,0,2858.00
30,1015227,3588207,1057103,170503,4,0,3129.88
31,1049074,3707877,1179561,202956,4,0,3544.31
