F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.04
1,696,886,1,0,0,0,0.04
2,11566,40213,2,0,0,0,0.06
3,22436,79540,23,20,0,0,0.09
4,33306,118867,127,123,0,0,0.13
5,44176,158194,743,738,0,0,0.24
6,55046,197521,1853,1844,0,0,0.58
7,65916,236848,4599,3594,0,0,1.16
8,76786,276175,11130,7334,0,0,2.92
9,87656,315502,18994,10213,0,0,6.04
10,98526,354829,34461,16336,0,0,14.30
11,109396,394156,61425,18767,1,0,36.75
12,120266,433483,99931,24098,1,0,74.35
13,131136,472810,161168,41087,1,0,143.36
14,142006,512137,245503,41101,1,0,293.55
15,152876,551464,407180,53662,1,0,563.44
16,163746,590791,557611,67225,1,0,807.07
17,174616,630118,721600,125639,1,0,1040.29
18,185486,669445,908909,138052,1,0,1308.78
19,196356,708772,1103344,134070,1,0,1610.23
20,207226,748099,1313149,182611,1,0,1943.87
21,218096,787426,1574429,176294,1,0,2445.43
22,228966,826753,1833461,245499,1,0,2845.81
23,239836,866080,2137911,234803,1,0,3374.87
