F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,8,11,2,0,0,0,0.03
2,31,68,5,0,0,0,0.03
3,492,1559,163,69,0,0,0.03
4,2025,7815,1373,1199,0,0,0.04
5,4688,16493,5360,2257,0,0,0.12
6,8907,31988,11410,3905,0,0,0.28
7,15141,52941,21539,7049,0,0,0.83
8,22525,80301,39825,8688,0,0,2.34
9,30409,111334,61306,12103,0,0,4.78
10,38721,147930,98918,16611,1,0,11.70
11,47169,186431,173618,25150,1,0,32.62
12,55827,226073,301142,53869,1,0,80.43
13,64485,266429,541715,47467,1,0,194.43
14,73143,307219,1103797,112387,1,0,514.92
15,81801,347124,1976294,136715,1,0,1105.11
16,90459,387914,3994406,139336,1,0,2623.34
