F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,31,65,17,12,0,0,0.02
2,53,118,31,17,0,0,0.02
3,82,184,46,19,0,0,0.02
4,112,253,62,22,0,0,0.02
5,270,652,149,58,0,0,0.02
6,643,1684,15715,6787,0,0,0.10
7,1616,4963,25029,7671,0,0,0.15
8,2706,8813,38045,10760,0,0,0.26
9,3861,12980,49283,20088,0,0,0.36
10,5959,21027,63935,21776,0,0,0.65
11,8647,31691,77745,19429,0,0,0.98
12,11349,42165,105173,27215,0,0,1.68
13,14354,53560,133385,37011,0,0,2.74
14,17172,64735,161686,34568,0,0,4.48
15,20227,76806,205027,26244,0,0,7.53
16,23283,88908,250375,34515,0,0,12.08
17,26482,101306,330066,39323,0,0,19.35
18,29713,113763,424706,47285,1,0,30.75
19,33194,127093,550301,74862,1,0,49.43
20,36746,140739,724363,77575,1,0,83.02
21,40935,157452,1005253,106530,1,0,148.75
22,44602,172127,1369138,99908,1,0,240.74
23,48979,190112,1967602,171367,1,0,401.92
24,52722,205224,2636580,107962,1,0,605.54
25,56491,220459,3563508,166290,1,0,884.85
26,60283,235144,4825215,290469,1,0,1359.81
27,64109,249872,6883093,323565,1,0,2267.32
