F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.06
1,1,0,0,0,0,0,0.06
2,27478,87482,1,0,0,0,0.11
3,46696,154190,2,0,0,0,0.15
4,65047,217015,3,0,1,0,0.18
5,84292,283837,4,0,1,0,0.22
6,102645,346694,5,0,1,0,0.26
7,121892,413532,6,0,1,0,0.30
8,140245,476389,7,0,1,0,0.34
9,159492,543227,8,0,1,0,0.37
10,177845,606084,9,0,1,0,0.41
11,197092,672922,10,0,1,0,0.45
12,215445,735779,11,0,1,0,0.49
13,234692,802617,12,0,2,0,0.53
14,253045,865474,13,0,2,0,0.57
15,272292,932312,14,0,2,0,0.61
16,290645,995169,15,0,2,0,0.65
17,309892,1062007,16,0,2,0,0.69
18,328245,1124864,17,0,2,0,0.73
19,347492,1191702,18,0,2,0,0.77
20,365845,1254559,19,0,2,0,0.82
21,385092,1321397,20,0,2,0,0.86
22,403445,1384254,21,0,2,0,0.90
23,422692,1451092,22,0,3,0,0.96
24,441045,1513949,23,0,3,0,1.00
25,460292,1580787,24,0,3,0,1.04
26,478645,1643644,25,0,3,0,1.09
27,497892,1710482,26,0,3,0,1.13
28,516245,1773339,27,0,3,0,1.17
29,535492,1840177,28,0,3,0,1.21
30,553845,1903034,29,0,3,0,1.25
31,573092,1969872,30,0,3,0,1.29
32,591445,2032729,31,0,4,0,1.34
33,610692,2099567,32,0,4,0,1.38
34,629045,2162424,33,0,4,0,1.43
35,648292,2229262,34,0,4,0,1.51
36,666645,2292119,35,0,4,0,1.57
37,685892,2358957,36,0,4,0,1.63
38,704245,2421814,37,0,4,0,1.70
39,723492,2488652,38,0,4,0,1.76
40,741845,2551509,39,0,4,0,1.81
41,761092,2618347,40,0,5,0,1.86
42,779445,2681204,41,0,5,0,1.91
43,798692,2748042,42,0,5,0,1.96
44,817045,2810899,43,0,5,0,2.01
45,836292,2877737,44,0,5,0,2.09
46,854645,2940594,46,1,5,0,2.15
47,873892,3007432,47,1,5,0,2.20
48,892245,3070289,48,1,5,0,2.25
49,911492,3137127,49,1,5,0,2.31
50,929845,3199984,54,5,6,0,2.37
51,949092,3266822,55,5,6,0,2.43
52,967445,3329679,56,5,6,0,2.49
53,986692,3396517,57,5,6,0,2.55
54,1005045,3459374,62,9,6,0,2.61
55,1024292,3526212,63,9,6,0,2.67
56,1042645,3589069,64,9,6,0,2.74
57,1061892,3655907,65,9,6,0,2.80
58,1080245,3718764,76,19,6,0,2.87
59,1099492,3785602,77,19,7,0,2.93
60,1117845,3848459,78,19,7,0,2.99
61,1137092,3915297,79,19,7,0,3.06
62,1155445,3978154,542,481,7,0,6.28
63,1174692,4044992,543,481,7,0,6.36
64,1193045,4107849,544,481,7,0,6.45
65,1212292,4174687,545,481,7,0,6.54
66,1230645,4237544,1303,1238,7,0,7.98
67,1249892,4304382,1304,1238,7,0,8.07
68,1268245,4367239,1305,1238,7,0,8.13
69,1287492,4434077,1306,1238,8,0,8.20
70,1305845,4496934,3849,2831,8,0,18.23
71,1325092,4563772,3850,2831,8,0,18.33
72,1343445,4626629,3851,2831,8,0,18.41
73,1362692,4693467,3852,2831,8,0,18.50
74,1381045,4756324,11598,7790,8,0,67.46
75,1400292,4823162,11599,7790,8,0,67.58
76,1418645,4886019,11600,7790,8,0,67.67
77,1437892,4952857,11601,7790,8,0,67.78
78,1456245,5015714,12173,8361,9,0,70.85
79,1475492,5082552,12174,8361,9,0,70.95
80,1493845,5145409,12175,8361,9,0,71.04
81,1513092,5212247,12176,8361,9,0,71.16
82,1531445,5275104,14213,5434,9,0,84.73
83,1550692,5341942,14214,5434,9,0,84.83
84,1569045,5404799,14215,5434,9,0,84.90
85,1588292,5471637,14216,5434,9,0,85.00
86,1606645,5534494,20870,12087,9,0,141.33
87,1625892,5601332,20871,12087,10,0,141.46
88,1644245,5664189,20872,12087,10,0,141.55
89,1663492,5731027,20873,12087,10,0,141.68
90,1681845,5793884,39105,13035,10,0,370.19
91,1701092,5860722,39106,13035,10,0,370.31
92,1719445,5923579,39107,13035,10,0,370.41
93,1738692,5990417,39108,13035,10,0,370.54
94,1757045,6053274,108167,37025,10,0,1090.27
95,1776292,6120112,108168,37025,10,0,1090.38
96,1794645,6182969,108169,37025,11,0,1090.46
97,1813892,6249807,108170,37025,11,0,1090.56
