F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.09
1,1,0,0,0,1,4,0.09
2,1,0,0,0,1,4,0.09
3,1,0,0,0,1,4,0.09
4,1,0,0,0,1,4,0.10
5,1,0,0,0,2,4,0.10
6,1,0,0,0,2,4,0.10
7,1,0,0,0,2,4,0.11
8,42970,160517,0,0,2,9,0.15
9,68884,260289,3,1,3,14,0.18
10,100824,384848,11,7,3,24,0.22
11,133465,513997,19,14,3,29,0.26
12,170668,662488,34,28,4,33,0.32
13,212559,830262,52,45,4,49,0.38
14,255017,1002776,73,65,4,55,0.44
15,300739,1188936,111,102,4,62,0.49
16,346240,1375328,132,122,5,68,0.58
17,391325,1560406,172,161,5,74,0.65
18,437908,1751503,207,195,5,103,0.73
19,482825,1936395,239,226,5,109,0.80
20,528488,2124460,288,274,6,115,0.86
21,574715,2314655,332,317,6,121,0.94
22,620307,2502432,372,356,6,127,1.00
23,665711,2689634,406,389,7,134,1.12
24,711007,2876277,435,417,7,140,1.17
25,756541,3063848,462,443,7,147,1.22
26,801883,3250833,504,484,7,196,1.29
27,845705,3431770,550,529,8,202,1.36
28,891651,3620879,578,556,8,208,1.43
29,937953,3811544,619,596,8,216,1.50
30,981857,3992799,664,640,8,222,1.55
31,1027881,4182207,706,681,9,228,1.61
32,1074098,4372494,750,724,9,234,1.67
33,1119537,4559656,784,757,9,241,1.74
34,1164960,4746839,815,787,10,247,1.81
35,1209384,4930046,848,819,10,253,1.88
36,1255701,5120783,882,852,10,259,1.95
37,1300127,5303869,918,887,10,265,2.03
38,1346476,5494775,950,918,11,271,2.25
39,1391850,5681594,998,965,11,279,2.49
40,1437316,5869007,1021,987,11,288,2.54
41,1481742,6052196,1115,1080,12,294,2.60
42,1528124,6243207,1150,1114,12,301,2.65
43,1573468,6430014,1180,1143,12,307,2.70
44,1618959,6617564,1207,1169,12,398,2.76
45,1662820,6798575,1241,1202,13,404,2.81
46,1709692,6991372,1271,1231,13,410,2.86
47,1754031,7174267,1293,1252,13,416,2.91
48,1800501,7365705,1333,1291,13,423,2.97
49,1844843,7548538,1366,1323,14,429,3.03
50,1891351,7739991,1395,1351,14,435,3.10
51,1936605,7926461,1437,1392,14,441,3.16
52,1982114,8113952,1473,1427,15,447,3.22
53,2026550,8297240,1500,1453,15,453,3.27
54,2071398,8482198,1528,1480,15,459,3.32
55,2118208,8674670,1549,1500,15,469,3.38
