F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.07
1,1,0,0,0,0,4,0.07
2,1,0,0,0,1,4,0.07
3,1,0,0,0,1,4,0.07
4,1,0,0,0,1,4,0.07
5,1,0,0,0,1,4,0.07
6,1,0,0,0,2,4,0.07
7,1,0,0,0,2,4,0.07
8,1,0,0,0,2,4,0.07
9,1,0,0,0,2,4,0.07
10,1,0,0,0,3,4,0.07
11,1,0,0,0,3,4,0.07
12,1,0,0,0,3,4,0.07
13,1,0,0,0,3,4,0.07
14,1,0,0,0,4,4,0.07
15,1,0,0,0,4,4,0.07
16,1,0,0,0,4,4,0.07
17,1,0,0,0,4,4,0.07
18,1,0,0,0,5,4,0.07
19,1,0,0,0,5,4,0.07
20,1,0,0,0,5,4,0.07
21,1,0,0,0,5,4,0.07
22,1,0,0,0,6,4,0.07
23,4426,11136,246797,56496,6,12,1.85
24,4563,11136,246797,56496,6,12,1.86
25,4563,11136,246797,56496,6,12,1.86
26,4563,11136,246797,56496,7,12,1.86
27,4563,11136,246797,56496,7,12,1.86
28,4563,11136,246797,56496,7,12,1.86
29,4563,11136,246797,56496,7,12,1.86
30,4563,11136,246797,56496,8,12,1.86
31,7607,19474,539645,94901,8,18,4.26
32,7744,19474,539645,94901,8,18,4.26
33,7744,19474,539645,94901,8,18,4.26
34,7744,19474,539645,94901,9,18,4.26
35,7744,19474,539645,94901,9,18,4.26
36,7744,19474,539645,94901,9,18,4.26
37,7744,19474,539645,94901,9,18,4.26
38,7744,19474,539645,94901,10,18,4.26
39,10783,27792,819855,115759,10,25,8.04
40,10920,27792,819855,115759,10,25,8.04
41,10920,27792,819855,115759,10,25,8.04
42,10920,27792,819855,115759,11,25,8.04
43,10920,27792,819855,115759,11,25,8.04
44,10920,27792,819855,115759,11,25,8.04
45,10920,27792,819855,115759,11,25,8.04
46,10920,27792,819855,115759,12,25,8.04
47,13959,36110,1079969,124057,12,28,11.47
48,14096,36110,1079969,124057,12,28,11.47
49,14096,36110,1079969,124057,12,28,11.47
50,14096,36110,1079969,124057,13,28,11.47
51,14096,36110,1079969,124057,13,28,11.47
52,14096,36110,1079969,124057,13,28,11.47
53,14096,36110,1079969,124057,13,28,11.48
54,14096,36110,1079969,124057,14,28,11.48
55,17135,44428,1339412,131567,14,33,15.21
56,17272,44428,1339412,131567,14,33,15.22
57,17272,44428,1339412,131567,14,33,15.22
58,17272,44428,1339412,131567,14,33,15.22
59,17272,44428,1339412,131567,15,33,15.22
60,17272,44428,1339412,131567,15,33,15.22
61,17272,44428,1339412,131567,15,33,15.22
62,17272,44428,1339412,131567,15,33,15.22
63,20311,52746,1587910,150869,16,37,19.80
64,20448,52746,1587910,150869,16,37,19.80
65,20448,52746,1587910,150869,16,37,19.80
66,20448,52746,1587910,150869,16,37,19.80
67,20448,52746,1587910,150869,17,37,19.80
68,20448,52746,1587910,150869,17,37,19.80
69,20448,52746,1587910,150869,17,37,19.80
70,20448,52746,1587910,150869,17,37,19.80
71,23487,61064,1813730,152549,18,40,23.11
72,23624,61064,1813730,152549,18,40,23.11
73,23624,61064,1813730,152549,18,40,23.11
74,23624,61064,1813730,152549,18,40,23.11
75,23624,61064,1813730,152549,19,40,23.11
76,23624,61064,1813730,152549,19,40,23.11
77,23624,61064,1813730,152549,19,40,23.11
78,23624,61064,1813730,152549,19,40,23.11
79,26663,69382,2041059,163902,20,45,27.54
80,26800,69382,2041059,163902,20,45,27.54
81,26800,69382,2041059,163902,20,45,27.54
82,26800,69382,2041059,163902,20,45,27.54
83,26800,69382,2041059,163902,21,45,27.54
84,26800,69382,2041059,163902,21,45,27.54
85,26800,69382,2041059,163902,21,45,27.54
86,26800,69382,2041059,163902,21,45,27.54
87,29839,77700,2253617,160819,22,47,32.27
88,29976,77700,2253617,160819,22,47,32.27
89,29976,77700,2253617,160819,22,47,32.27
90,29976,77700,2253617,160819,22,47,32.27
91,29976,77700,2253617,160819,23,47,32.27
92,29976,77700,2253617,160819,23,47,32.27
93,29976,77700,2253617,160819,23,47,32.27
94,29976,77700,2253617,160819,23,47,32.27
95,33015,86018,2522329,212071,24,56,39.10
96,33152,86018,2522329,212071,24,56,39.10
97,33152,86018,2522329,212071,24,56,39.10
98,33152,86018,2522329,212071,24,56,39.10
99,33152,86018,2522329,212071,25,56,39.10
100,33152,86018,2522329,212071,25,56,39.10
101,33152,86018,2522329,212071,25,56,39.10
102,33152,86018,2522329,212071,25,56,39.10
103,36191,94336,2768839,196799,26,57,43.97
104,36328,94336,2768839,196799,26,57,43.97
105,36328,94336,2768839,196799,26,57,43.97
106,36328,94336,2768839,196799,26,57,43.97
107,36328,94336,2768839,196799,27,57,43.97
108,36328,94336,2768839,196799,27,57,43.97
109,36328,94336,2768839,196799,27,57,43.97
110,36328,94336,2768839,196799,27,57,43.97
111,39367,102654,3025667,231469,27,77,51.24
112,39504,102654,3025667,231469,28,77,51.25
113,39504,102654,3025667,231469,28,77,51.25
114,39504,102654,3025667,231469,28,77,51.25
115,39504,102654,3025667,231469,28,77,51.25
116,39504,102654,3025667,231469,29,77,51.25
117,39504,102654,3025667,231469,29,77,51.25
118,39504,102654,3025667,231469,29,77,51.25
119,42543,110972,3263731,194663,29,68,57.81
120,42680,110972,3263731,194663,30,68,57.81
121,42680,110972,3263731,194663,30,68,57.81
122,42680,110972,3263731,194663,30,68,57.81
123,42680,110972,3263731,194663,30,68,57.81
124,42680,110972,3263731,194663,31,68,57.81
125,42680,110972,3263731,194663,31,68,57.81
126,42680,110972,3263731,194663,31,68,57.81
127,45719,119290,3479420,231816,31,77,63.97
128,45856,119290,3479420,231816,32,77,63.98
129,45856,119290,3479420,231816,32,77,63.98
130,45856,119290,3479420,231816,32,77,63.98
131,45856,119290,3479420,231816,32,77,63.98
132,45856,119290,3479420,231816,33,77,63.98
133,45856,119290,3479420,231816,33,77,63.98
134,45856,119290,3479420,231816,33,77,63.98
135,48895,127608,3735417,237168,33,78,70.61
136,49032,127608,3735417,237168,34,78,70.61
137,49032,127608,3735417,237168,34,78,70.61
138,49032,127608,3735417,237168,34,78,70.61
139,49032,127608,3735417,237168,34,78,70.61
140,49032,127608,3735417,237168,35,78,70.61
141,49032,127608,3735417,237168,35,78,70.61
142,49032,127608,3735417,237168,35,78,70.61
143,52071,135926,4003731,196254,35,81,78.91
144,52208,135926,4003731,196254,36,81,78.91
145,52208,135926,4003731,196254,36,81,78.91
146,52208,135926,4003731,196254,36,81,78.91
147,52208,135926,4003731,196254,36,81,78.92
148,52208,135926,4003731,196254,37,81,78.92
149,52208,135926,4003731,196254,37,81,78.92
150,52208,135926,4003731,196254,37,81,78.92
151,55247,144244,4237712,265804,37,94,85.87
152,55384,144244,4237712,265804,38,94,85.88
153,55384,144244,4237712,265804,38,94,85.88
154,55384,144244,4237712,265804,38,94,85.88
155,55384,144244,4237712,265804,38,94,85.88
156,55384,144244,4237712,265804,39,94,85.88
157,55384,144244,4237712,265804,39,94,85.88
158,55384,144244,4237712,265804,39,94,85.88
159,58423,152562,4476197,277192,39,102,93.58
160,58560,152562,4476197,277192,40,102,93.58
161,58560,152562,4476197,277192,40,102,93.58
162,58560,152562,4476197,277192,40,102,93.58
163,58560,152562,4476197,277192,40,102,93.58
164,58560,152562,4476197,277192,41,102,93.59
165,58560,152562,4476197,277192,41,102,93.59
166,58560,152562,4476197,277192,41,102,93.59
167,61599,160880,4732637,257646,41,99,101.85
168,61736,160880,4732637,257646,41,99,101.85
169,61736,160880,4732637,257646,42,99,101.85
170,61736,160880,4732637,257646,42,99,101.85
171,61736,160880,4732637,257646,42,99,101.85
172,61736,160880,4732637,257646,42,99,101.85
173,61736,160880,4732637,257646,43,99,101.85
174,61736,160880,4732637,257646,43,99,101.85
175,64775,169198,4962527,252579,43,101,109.41
176,64912,169198,4962527,252579,43,101,109.41
177,64912,169198,4962527,252579,44,101,109.41
178,64912,169198,4962527,252579,44,101,109.41
179,64912,169198,4962527,252579,44,101,109.41
180,64912,169198,4962527,252579,44,101,109.41
181,64912,169198,4962527,252579,45,101,109.41
182,64912,169198,4962527,252579,45,101,109.41
183,67951,177516,5224025,292243,45,111,117.38
184,68088,177516,5224025,292243,45,111,117.38
185,68088,177516,5224025,292243,46,111,117.39
186,68088,177516,5224025,292243,46,111,117.39
187,68088,177516,5224025,292243,46,111,117.39
188,68088,177516,5224025,292243,46,111,117.39
189,68088,177516,5224025,292243,47,111,117.39
190,68088,177516,5224025,292243,47,111,117.39
191,71127,185834,5456807,263417,47,110,124.14
192,71264,185834,5456807,263417,47,110,124.14
193,71264,185834,5456807,263417,48,110,124.15
194,71264,185834,5456807,263417,48,110,124.15
195,71264,185834,5456807,263417,48,110,124.15
196,71264,185834,5456807,263417,48,110,124.15
197,71264,185834,5456807,263417,49,110,124.15
198,71264,185834,5456807,263417,49,110,124.15
199,74303,194152,5691865,209566,49,111,131.32
200,74440,194152,5691865,209566,49,111,131.32
201,74440,194152,5691865,209566,50,111,131.32
202,74440,194152,5691865,209566,50,111,131.32
203,74440,194152,5691865,209566,50,111,131.32
204,74440,194152,5691865,209566,50,111,131.32
205,74440,194152,5691865,209566,51,111,131.32
206,74440,194152,5691865,209566,51,111,131.32
207,77479,202470,5943358,296773,51,127,141.39
208,77616,202470,5943358,296773,51,127,141.40
209,77616,202470,5943358,296773,52,127,141.40
210,77616,202470,5943358,296773,52,127,141.40
211,77616,202470,5943358,296773,52,127,141.40
212,77616,202470,5943358,296773,52,127,141.40
213,77616,202470,5943358,296773,53,127,141.40
214,77616,202470,5943358,296773,53,127,141.40
215,80655,210788,6146168,277714,53,126,151.17
216,80792,210788,6146168,277714,53,126,151.17
217,80792,210788,6146168,277714,54,126,151.17
218,80792,210788,6146168,277714,54,126,151.17
219,80792,210788,6146168,277714,54,126,151.17
220,80792,210788,6146168,277714,54,126,151.17
221,80792,210788,6146168,277714,55,126,151.17
222,80792,210788,6146168,277714,55,126,151.17
223,83831,219106,6402676,236453,55,125,161.46
224,83968,219106,6402676,236453,55,125,161.46
225,83968,219106,6402676,236453,55,125,161.46
226,83968,219106,6402676,236453,56,125,161.46
227,83968,219106,6402676,236453,56,125,161.47
228,83968,219106,6402676,236453,56,125,161.47
229,83968,219106,6402676,236453,56,125,161.47
230,83968,219106,6402676,236453,57,125,161.47
231,87007,227424,6628999,304619,57,137,171.44
232,87144,227424,6628999,304619,57,137,171.44
233,87144,227424,6628999,304619,57,137,171.44
234,87144,227424,6628999,304619,58,137,171.44
235,87144,227424,6628999,304619,58,137,171.44
236,87144,227424,6628999,304619,58,137,171.44
237,87144,227424,6628999,304619,58,137,171.44
238,87144,227424,6628999,304619,59,137,171.44
239,90183,235742,6862551,337234,59,145,180.69
240,90320,235742,6862551,337234,59,145,180.69
241,90320,235742,6862551,337234,59,145,180.69
242,90320,235742,6862551,337234,60,145,180.69
243,90320,235742,6862551,337234,60,145,180.69
244,90320,235742,6862551,337234,60,145,180.69
245,90320,235742,6862551,337234,60,145,180.69
246,90320,235742,6862551,337234,61,145,180.69
247,93359,244060,7086637,344841,61,151,191.46
248,93496,244060,7086637,344841,61,151,191.46
249,93496,244060,7086637,344841,61,151,191.46
250,93496,244060,7086637,344841,62,151,191.46
251,93496,244060,7086637,344841,62,151,191.46
252,93496,244060,7086637,344841,62,151,191.46
253,93496,244060,7086637,344841,62,151,191.46
254,93496,244060,7086637,344841,63,151,191.47
255,96535,252378,7323991,320612,63,149,201.12
256,96672,252378,7323991,320612,63,149,201.12
257,96672,252378,7323991,320612,63,149,201.12
258,96672,252378,7323991,320612,64,149,201.12
259,96672,252378,7323991,320612,64,149,201.12
260,96672,252378,7323991,320612,64,149,201.12
261,96672,252378,7323991,320612,64,149,201.12
262,96672,252378,7323991,320612,65,149,201.12
263,99711,260696,7569674,311074,65,151,212.22
264,99848,260696,7569674,311074,65,151,212.22
265,99848,260696,7569674,311074,65,151,212.23
266,99848,260696,7569674,311074,66,151,212.23
267,99848,260696,7569674,311074,66,151,212.23
268,99848,260696,7569674,311074,66,151,212.23
269,99848,260696,7569674,311074,66,151,212.23
270,99848,260696,7569674,311074,67,151,212.23
271,102887,269014,7847746,347439,67,165,223.41
272,103024,269014,7847746,347439,67,165,223.41
273,103024,269014,7847746,347439,67,165,223.41
274,103024,269014,7847746,347439,68,165,223.41
275,103024,269014,7847746,347439,68,165,223.41
276,103024,269014,7847746,347439,68,165,223.41
277,103024,269014,7847746,347439,68,165,223.41
278,103024,269014,7847746,347439,68,165,223.41
279,106063,277332,8139021,279332,69,165,238.50
280,106200,277332,8139021,279332,69,165,238.50
281,106200,277332,8139021,279332,69,165,238.50
282,106200,277332,8139021,279332,69,165,238.50
283,106200,277332,8139021,279332,70,165,238.50
284,106200,277332,8139021,279332,70,165,238.50
285,106200,277332,8139021,279332,70,165,238.50
286,106200,277332,8139021,279332,70,165,238.50
287,109239,285650,8383236,329202,71,175,252.08
288,109376,285650,8383236,329202,71,175,252.08
289,109376,285650,8383236,329202,71,175,252.08
290,109376,285650,8383236,329202,71,175,252.08
291,109376,285650,8383236,329202,72,175,252.08
292,109376,285650,8383236,329202,72,175,252.08
293,109376,285650,8383236,329202,72,175,252.08
294,109376,285650,8383236,329202,72,175,252.08
295,112415,293968,8664789,364226,73,184,266.39
296,112552,293968,8664789,364226,73,184,266.39
297,112552,293968,8664789,364226,73,184,266.39
298,112552,293968,8664789,364226,73,184,266.39
299,112552,293968,8664789,364226,74,184,266.39
300,112552,293968,8664789,364226,74,184,266.40
301,112552,293968,8664789,364226,74,184,266.40
302,112552,293968,8664789,364226,74,184,266.40
303,115591,302286,8932188,361945,75,186,279.13
304,115728,302286,8932188,361945,75,186,279.14
305,115728,302286,8932188,361945,75,186,279.14
306,115728,302286,8932188,361945,75,186,279.14
307,115728,302286,8932188,361945,76,186,279.14
308,115728,302286,8932188,361945,76,186,279.14
309,115728,302286,8932188,361945,76,186,279.14
310,115728,302286,8932188,361945,76,186,279.14
311,118767,310604,9127044,342703,77,189,289.57
312,118904,310604,9127044,342703,77,189,289.57
313,118904,310604,9127044,342703,77,189,289.58
314,118904,310604,9127044,342703,77,189,289.58
315,118904,310604,9127044,342703,78,189,289.58
316,118904,310604,9127044,342703,78,189,289.58
317,118904,310604,9127044,342703,78,189,289.58
318,118904,310604,9127044,342703,78,189,289.58
319,121943,318922,9370562,365148,79,193,301.67
320,122080,318922,9370562,365148,79,193,301.67
321,122080,318922,9370562,365148,79,193,301.67
322,122080,318922,9370562,365148,79,193,301.68
323,122080,318922,9370562,365148,80,193,301.68
324,122080,318922,9370562,365148,80,193,301.68
325,122080,318922,9370562,365148,80,193,301.68
326,122080,318922,9370562,365148,80,193,301.68
327,125119,327240,9611212,372116,81,199,314.14
328,125256,327240,9611212,372116,81,199,314.14
329,125256,327240,9611212,372116,81,199,314.14
330,125256,327240,9611212,372116,81,199,314.14
331,125256,327240,9611212,372116,82,199,314.14
332,125256,327240,9611212,372116,82,199,314.14
333,125256,327240,9611212,372116,82,199,314.14
334,125256,327240,9611212,372116,82,199,314.14
335,128295,335558,9827093,360218,82,202,325.98
336,128432,335558,9827093,360218,83,202,325.98
337,128432,335558,9827093,360218,83,202,325.98
338,128432,335558,9827093,360218,83,202,325.99
339,128432,335558,9827093,360218,83,202,325.99
340,128432,335558,9827093,360218,84,202,325.99
341,128432,335558,9827093,360218,84,202,325.99
342,128432,335558,9827093,360218,84,202,325.99
343,131471,343876,10065673,384804,84,210,338.84
344,131608,343876,10065673,384804,85,210,338.84
345,131608,343876,10065673,384804,85,210,338.84
346,131608,343876,10065673,384804,85,210,338.84
347,131608,343876,10065673,384804,85,210,338.85
348,131608,343876,10065673,384804,86,210,338.85
349,131608,343876,10065673,384804,86,210,338.85
350,131608,343876,10065673,384804,86,210,338.85
351,134647,352194,10320365,407977,86,226,353.23
352,134784,352194,10320365,407977,87,226,353.23
353,134784,352194,10320365,407977,87,226,353.23
354,134784,352194,10320365,407977,87,226,353.23
355,134784,352194,10320365,407977,87,226,353.23
356,134784,352194,10320365,407977,88,226,353.23
357,134784,352194,10320365,407977,88,226,353.23
358,134784,352194,10320365,407977,88,226,353.23
359,137823,360512,10546228,410635,88,223,366.99
360,137960,360512,10546228,410635,89,223,367.00
361,137960,360512,10546228,410635,89,223,367.00
362,137960,360512,10546228,410635,89,223,367.00
363,137960,360512,10546228,410635,89,223,367.00
364,137960,360512,10546228,410635,90,223,367.00
365,137960,360512,10546228,410635,90,223,367.00
366,137960,360512,10546228,410635,90,223,367.00
367,140999,368830,10780968,395553,90,224,381.75
368,141136,368830,10780968,395553,91,224,381.75
369,141136,368830,10780968,395553,91,224,381.75
370,141136,368830,10780968,395553,91,224,381.75
371,141136,368830,10780968,395553,91,224,381.75
372,141136,368830,10780968,395553,92,224,381.75
373,141136,368830,10780968,395553,92,224,381.75
374,141136,368830,10780968,395553,92,224,381.75
375,144175,377148,11022015,439532,92,237,396.44
376,144312,377148,11022015,439532,93,237,396.44
377,144312,377148,11022015,439532,93,237,396.44
378,144312,377148,11022015,439532,93,237,396.44
379,144312,377148,11022015,439532,93,237,396.45
380,144312,377148,11022015,439532,94,237,396.45
381,144312,377148,11022015,439532,94,237,396.45
382,144312,377148,11022015,439532,94,237,396.45
383,147351,385466,11264192,421239,94,236,409.47
384,147488,385466,11264192,421239,95,236,409.48
385,147488,385466,11264192,421239,95,236,409.48
386,147488,385466,11264192,421239,95,236,409.48
387,147488,385466,11264192,421239,95,236,409.48
388,147488,385466,11264192,421239,96,236,409.48
389,147488,385466,11264192,421239,96,236,409.48
390,147488,385466,11264192,421239,96,236,409.48
391,150527,393784,11475029,383666,96,233,422.51
392,150664,393784,11475029,383666,96,233,422.51
393,150664,393784,11475029,383666,97,233,422.51
394,150664,393784,11475029,383666,97,233,422.51
395,150664,393784,11475029,383666,97,233,422.52
396,150664,393784,11475029,383666,97,233,422.52
397,150664,393784,11475029,383666,98,233,422.52
398,150664,393784,11475029,383666,98,233,422.52
399,153703,402102,11722764,395815,98,240,437.46
400,153840,402102,11722764,395815,98,240,437.46
401,153840,402102,11722764,395815,99,240,437.46
402,153840,402102,11722764,395815,99,240,437.46
403,153840,402102,11722764,395815,99,240,437.46
404,153840,402102,11722764,395815,99,240,437.46
405,153840,402102,11722764,395815,100,240,437.46
406,153840,402102,11722764,395815,100,240,437.46
407,156879,410420,12009971,451649,100,252,456.07
