F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,1,0,0,0,0,4,0.02
2,1,0,0,0,0,4,0.02
3,1,0,0,0,0,4,0.02
4,1,0,0,0,0,4,0.02
5,1,0,0,0,0,4,0.02
6,1353,3862,2,1,0,4,0.02
7,2672,9115,142,140,0,4,0.02
8,4127,15250,869,864,0,4,0.05
9,5582,21513,3206,3198,0,5,0.17
10,7037,27776,10771,8777,0,6,0.63
11,8492,34039,30339,17500,0,8,1.95
12,9947,40302,83732,24614,0,12,5.55
13,11402,46565,234999,30728,0,13,17.97
14,12857,52828,740150,52566,0,21,70.64
15,14312,59091,2009213,93049,0,32,222.75
16,15767,65354,5503468,99531,0,38,753.37
17,17222,71617,12260471,215950,0,85,2088.39
18,18677,77880,20253824,233477,0,104,3600.01
