F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,1,0,0,0,0,4,0.02
2,1,0,0,0,0,4,0.02
3,1,0,0,0,0,4,0.02
4,1,0,0,0,0,4,0.02
5,1,0,0,0,0,4,0.02
6,2611,7435,2,0,0,4,0.02
7,5188,17474,292,289,0,4,0.04
8,8029,29482,1720,1715,0,5,0.14
9,10870,41750,6677,6670,0,7,0.57
10,13711,54018,22190,14605,0,8,2.54
11,16552,66286,68468,17064,0,10,9.60
12,19393,78554,237108,20620,0,12,39.87
13,22234,90822,831042,54553,0,22,152.33
14,25075,103090,3003351,118991,0,44,815.77
15,27916,115358,9041972,191068,0,68,3491.96
16,30757,127626,9236800,219223,0,78,3600.07
