F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,320,462,0,0,0,4,0.02
2,1810,6276,0,0,0,4,0.02
3,3300,12090,0,0,0,4,0.02
4,4790,17904,0,0,0,4,0.02
5,6280,23718,0,0,0,4,0.02
6,7770,29532,0,0,0,5,0.02
7,9260,35346,2,1,0,5,0.02
8,10750,41160,5,3,0,5,0.03
9,12240,46974,8,5,0,6,0.03
10,13730,52788,13,9,0,6,0.03
11,15220,58602,18,13,0,6,0.03
12,16710,64416,25,19,0,6,0.03
13,18200,70230,37,30,0,6,0.03
14,19690,76044,45,37,0,6,0.04
15,21180,81858,60,51,0,6,0.04
16,22670,87672,67,57,0,7,0.04
17,24160,93486,108,97,0,7,0.05
18,25650,99300,157,145,0,7,0.05
19,27140,105114,172,159,0,8,0.06
20,28630,110928,250,236,0,8,0.06
21,30120,116742,263,248,0,8,0.07
22,31610,122556,272,256,0,8,0.07
23,33100,128370,277,260,0,8,0.08
24,34590,134184,282,264,0,9,0.08
25,36080,139998,297,278,0,9,0.08
26,37570,145812,310,290,0,9,0.09
27,39060,151626,325,304,0,9,0.09
28,40550,157440,348,326,0,9,0.10
29,42040,163254,390,367,0,9,0.11
30,43530,169068,431,407,0,9,0.11
31,45020,174882,448,423,0,10,0.12
32,46510,180696,512,486,0,10,0.14
33,48000,186510,698,671,0,11,0.17
34,49490,192324,832,804,0,11,0.19
35,50980,198138,876,847,0,13,0.21
36,52470,203952,998,968,0,13,0.25
37,53960,209766,1174,1143,0,14,0.28
38,55450,215580,1279,1247,0,15,0.31
39,56940,221394,1370,1337,0,15,0.33
40,58430,227208,1502,1468,0,15,0.36
41,59920,233022,1730,1695,0,15,0.41
42,61410,238836,1990,1954,0,16,0.49
43,62900,244650,2350,2313,0,16,0.58
44,64390,250464,3190,3152,0,16,0.79
45,65880,256278,3416,3377,0,17,0.87
46,67370,262092,3921,3881,0,18,0.98
47,68860,267906,4068,4027,0,18,1.01
48,70350,273720,4269,4227,0,18,1.07
49,71840,279534,4296,4253,0,19,1.10
50,73330,285348,4391,4347,0,19,1.13
51,74820,291162,4429,4384,0,19,1.15
52,76310,296976,4493,4447,0,19,1.19
53,77800,302790,4775,4728,0,20,1.32
54,79290,308604,6755,6707,0,23,2.67
55,80780,314418,12419,10193,0,28,7.61
56,82270,320232,19433,12130,0,31,11.16
57,83760,326046,29392,15314,0,35,16.76
58,85250,331860,49108,21842,0,47,35.28
59,86740,337674,70149,26057,0,47,52.95
60,88230,343488,78332,27745,0,50,59.88
61,89720,349302,81775,31187,0,57,62.35
62,91210,355116,86409,26090,0,48,65.92
63,92700,360930,91790,31470,0,56,69.66
64,94190,366744,101397,31074,0,54,76.74
65,95680,372558,112547,33517,0,58,88.26
66,97170,378372,119983,31299,0,55,94.99
67,98660,384186,123018,34333,1,60,97.40
68,100150,390000,128145,39459,1,73,102.90
69,101640,395814,129734,41047,1,75,104.54
70,103130,401628,136716,38770,1,71,111.34
71,104620,407442,142293,34487,1,65,117.62
72,106110,413256,147887,40080,1,74,123.43
73,107600,419070,149228,41420,1,76,124.69
74,109090,424884,152496,44687,1,81,128.01
75,110580,430698,153198,45388,1,83,128.98
76,112070,436512,154279,36757,1,68,130.06
77,113560,442326,156591,39068,1,72,132.26
78,115050,448140,157249,39725,1,73,132.96
79,116540,453954,157263,39738,1,73,132.98
80,118030,459768,157366,39840,1,73,133.16
81,119520,465582,158770,41243,1,75,134.79
82,121010,471396,175099,37373,1,70,152.59
83,122500,477210,179470,41743,1,77,157.57
84,123990,483024,182827,45099,1,82,161.34
85,125480,488838,183071,45342,1,82,161.63
86,126970,494652,183200,45470,1,82,161.87
87,128460,500466,186042,48311,1,87,166.26
88,129950,506280,186081,48349,1,87,166.34
89,131440,512094,188335,31602,1,60,168.43
90,132930,517908,188635,31901,1,61,168.54
