F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.05
1,2183,2779,0,0,0,4,0.05
2,23927,82085,0,0,0,6,0.06
3,45671,161391,13,12,0,9,0.07
4,67415,240697,53,51,0,15,0.10
5,89159,320003,230,227,1,18,0.16
6,110903,399309,632,628,1,26,0.31
7,132647,478615,1227,1222,1,29,0.69
8,154391,557921,2178,2172,1,33,1.19
9,176135,637227,3458,3451,1,36,2.07
10,197879,716533,5125,5116,1,40,3.06
11,219623,795839,7379,7369,1,58,5.54
12,241367,875145,11808,9880,1,65,10.53
13,263111,954451,15465,11242,1,68,15.15
14,284855,1033757,20397,13494,1,70,19.78
15,306599,1113063,25038,15043,2,75,25.42
16,328343,1192369,30469,17236,2,82,33.58
17,350087,1271675,35937,18630,2,90,45.57
18,371831,1350981,43122,21845,2,102,62.43
19,393575,1430287,51904,21276,2,97,80.52
20,415319,1509593,66687,25892,2,132,120.38
21,437063,1588899,81589,29246,2,148,162.87
22,458807,1668205,108150,36865,2,190,257.39
23,480551,1747511,135892,41546,2,211,392.33
24,502295,1826817,171255,51599,2,274,550.10
25,524039,1906123,217365,58356,2,330,833.83
26,545783,1985429,259772,67057,3,359,1058.20
27,567527,2064735,323326,70613,3,412,1616.29
28,589271,2144041,405566,83212,3,522,2293.62
29,611015,2223347,476804,93151,3,634,3055.79
30,632759,2302653,546432,94859,3,488,3602.19
