F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,2542,9020,0,0,0,4,0.02
2,5162,18727,0,0,0,4,0.02
3,7782,28434,14,13,0,5,0.03
4,10402,38141,118,116,0,5,0.03
5,13022,47848,852,849,0,6,0.09
6,15642,57555,3447,3443,0,7,0.32
7,18262,67262,9738,9733,0,12,1.10
8,20882,76969,28909,16731,0,21,3.86
9,23502,86676,81739,24033,0,30,15.95
10,26122,96383,319663,51770,0,74,84.98
11,28742,106090,954025,35744,0,45,342.04
12,31362,115797,1964401,83957,0,121,832.96
13,33982,125504,5976128,143911,0,259,3600.17
