F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.09
1,20204,76227,0,0,0,6,0.10
2,40493,153163,0,0,0,9,0.12
3,60782,230099,0,0,0,15,0.14
4,81071,307035,0,0,0,16,0.17
5,101360,383971,5,4,0,25,0.20
6,121649,460907,49,47,1,28,0.25
7,141938,537843,143,140,1,31,0.43
8,162227,614779,445,441,1,33,0.89
9,182516,691715,1258,1253,1,37,1.88
10,202805,768651,1826,1820,1,52,2.92
11,223094,845587,3126,3119,1,57,4.50
12,243383,922523,5367,5359,1,64,7.37
13,263672,999459,9334,9325,1,75,13.24
14,283961,1076395,14847,10483,1,80,21.50
15,304250,1153331,26575,16132,1,94,36.75
16,324539,1230267,47999,20998,1,106,65.98
17,344828,1307203,87813,27171,1,126,123.84
18,365117,1384139,151107,34101,2,141,233.38
19,385406,1461075,227646,44820,2,176,386.63
20,405695,1538011,333755,54127,2,228,602.57
21,425984,1614947,436090,60552,2,237,815.74
22,446273,1691883,567455,61491,2,229,1124.53
23,466562,1768819,742639,89700,2,366,1572.28
24,486851,1845755,971460,81941,2,271,2208.69
25,507140,1922691,1453056,87862,2,285,3600.63
