F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.04
1,11269,39615,0,0,0,5,0.05
2,22668,80200,0,0,0,6,0.06
3,34067,120785,0,0,0,8,0.07
4,45466,161370,124,123,0,9,0.09
5,56865,201955,527,525,0,13,0.21
6,68264,242540,2960,2957,0,16,0.92
7,79663,283125,7525,7521,0,24,2.53
8,91062,323710,13773,11819,0,30,5.90
9,102461,364295,26342,15905,0,47,12.92
10,113860,404880,47013,19076,1,53,26.00
11,125259,445465,81632,27622,1,76,53.37
12,136658,486050,113866,31670,1,82,83.95
13,148057,526635,201701,33438,1,89,169.96
14,159456,567220,328909,44326,1,120,332.89
15,170855,607805,496022,70807,1,220,547.68
16,182254,648390,680131,77108,1,231,807.82
17,193653,688975,1097616,102082,1,349,1589.89
18,205052,729560,1623385,89315,1,273,2689.01
19,216451,770145,2054464,102078,1,310,3600.23
