F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.07
1,33664,117777,0,0,0,8,0.08
2,67511,237447,0,0,0,14,0.10
3,101358,357117,0,0,1,24,0.13
4,135205,476787,31,30,1,29,0.17
5,169052,596457,44,42,1,32,0.20
6,202899,716127,308,305,1,48,0.36
7,236746,835797,1879,1875,1,51,1.14
8,270593,955467,3685,3680,1,57,2.10
9,304440,1075137,6347,6341,1,64,3.83
10,338287,1194807,9944,9937,1,72,6.07
11,372134,1314477,15564,11549,2,74,11.42
12,405981,1434147,21873,15280,2,105,17.95
13,439828,1553817,29429,15972,2,108,25.28
14,473675,1673487,38597,21426,2,131,35.69
15,507522,1793157,46980,22249,2,129,46.40
16,541369,1912827,57767,23742,2,127,62.18
17,575216,2032497,66826,26981,2,141,73.96
18,609063,2152167,75704,30539,3,151,86.71
19,642910,2271837,90379,33361,3,165,108.87
20,676757,2391507,104213,33100,3,156,129.94
21,710604,2511177,119445,41581,3,187,151.63
22,744451,2630847,135520,42441,3,186,177.78
23,778298,2750517,155874,46788,3,206,209.67
24,812145,2870187,179157,52740,3,267,246.58
25,845992,2989857,204257,58320,4,288,290.28
26,879839,3109527,237386,61684,4,302,350.43
27,913686,3229197,272210,63248,4,295,415.03
28,947533,3348867,310768,58886,4,378,494.49
29,981380,3468537,343138,75409,4,452,557.54
30,1015227,3588207,369236,69507,4,380,615.92
31,1049074,3707877,397449,81722,4,451,681.57
32,1082921,3827547,444096,85102,4,444,786.08
33,1116768,3947217,487679,93906,5,466,873.69
34,1150615,4066887,551475,96393,5,469,1022.85
35,1184462,4186557,597169,99191,5,499,1122.67
36,1218309,4306227,639006,102520,5,497,1226.57
37,1252156,4425897,695305,101969,5,468,1363.88
38,1286003,4545567,750100,114038,5,533,1494.82
39,1319850,4665237,820921,120030,5,605,1684.34
40,1353697,4784907,887006,119007,6,548,1850.44
41,1387544,4904577,964920,128854,6,644,2066.16
42,1421391,5024247,1038993,133039,6,679,2259.22
43,1455238,5143917,1125273,146920,6,742,2501.82
44,1489085,5263587,1205881,152435,6,759,2712.82
45,1522932,5383257,1555008,164562,6,723,3600.17
