F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.03
1,8,11,2,1,0,4,0.03
2,31,68,6,4,0,4,0.03
3,492,1559,220,216,0,4,0.03
4,2025,7582,1661,1648,0,4,0.05
5,4688,17317,5867,5851,0,6,0.13
6,8907,33332,13038,11110,0,7,0.39
7,15141,57709,26175,15827,0,9,1.40
8,22525,85846,40794,18507,0,11,2.72
9,30409,117655,67620,29604,0,16,6.13
10,38721,154287,117340,35521,1,19,14.42
11,47169,192659,234573,51989,1,26,44.76
12,55827,232172,446484,72910,1,35,118.61
13,64485,270693,855735,82600,1,40,312.46
14,73143,311482,2514711,153538,1,74,1307.12
15,81801,352273,5729792,201387,1,103,3600.07
