F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,31,65,14,10,0,4,0.02
2,53,118,26,19,0,4,0.02
3,82,184,40,28,0,4,0.02
4,112,253,58,40,0,4,0.02
5,270,652,152,109,0,4,0.02
6,643,1684,7409,7310,0,4,0.07
7,1616,4963,27109,15553,0,6,0.29
8,2706,8813,44086,20245,0,6,0.48
9,3861,12990,53871,25184,0,7,0.60
10,5959,21043,66900,26560,0,8,0.80
11,8647,31731,83105,30478,0,8,1.26
12,11349,42205,114504,33832,0,10,2.38
13,14354,53587,154485,39590,0,12,4.62
14,17172,64761,192765,46397,0,13,7.25
15,20227,76828,252160,53591,0,15,12.50
16,23283,88932,317308,63445,0,18,19.57
17,26482,101329,401098,63456,0,20,33.42
18,29713,113786,553203,79323,1,23,58.70
19,33194,127116,750601,113191,1,32,96.82
20,36746,140762,1031367,130535,1,38,174.22
21,40935,157475,1404492,139793,1,37,283.91
22,44602,172150,1957407,165801,1,46,479.91
23,48979,190135,2841933,217034,1,59,800.63
24,52722,205247,4065378,280348,1,79,1334.07
25,56491,220482,5643709,305125,1,82,2110.46
26,60283,235835,7974332,378677,1,111,3418.04
27,64109,251267,8312897,373232,1,115,3600.00
