F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,1,0,0,0,0,0,0.01
2,1,0,0,0,0,0,0.01
3,1,0,0,0,0,0,0.01
4,116,338,2,1,0,0,0.01
5,226,723,14,12,0,0,0.01
6,341,1123,57,54,0,0,0.02
7,714,2364,146,140,0,0,0.02
8,1178,3979,895,888,0,0,0.03
9,1704,5854,3080,1631,0,0,0.06
10,2318,8200,8902,7452,0,0,0.18
11,3003,10878,22629,14155,0,0,0.54
12,3951,14494,47313,12976,0,0,1.51
13,4677,17298,90682,31857,0,0,4.11
14,5401,20122,179753,25130,0,0,10.86
15,6369,23785,393658,52335,0,0,33.51
16,7146,26780,701832,68468,0,0,73.76
17,8175,30733,1268770,92243,0,0,164.53
18,8998,33741,2656232,114012,0,0,435.00
19,9820,36872,5305208,212941,0,0,1262.81
20,10985,41439,9873756,152238,0,0,3219.06
