F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.09
1,1,0,0,0,0,0,0.09
2,1,0,0,0,1,0,0.09
3,1,0,0,0,1,0,0.09
4,1,0,0,0,1,0,0.09
5,1,0,0,0,1,0,0.09
6,1,0,0,0,2,0,0.09
7,1,0,0,0,2,0,0.09
8,1,0,0,0,2,0,0.09
9,1,0,0,0,2,0,0.09
10,1,0,0,0,3,0,0.09
11,1,0,0,0,3,0,0.09
12,1,0,0,0,3,0,0.09
13,1,0,0,0,3,0,0.09
14,1,0,0,0,4,0,0.09
15,1,0,0,0,4,0,0.09
16,1,0,0,0,4,0,0.09
17,1,0,0,0,4,0,0.09
18,1,0,0,0,5,0,0.09
19,1,0,0,0,5,0,0.09
20,1,0,0,0,5,0,0.09
21,1,0,0,0,5,0,0.09
22,1,0,0,0,6,0,0.09
23,4426,11134,181706,42123,6,0,1.16
24,4563,11134,181706,42123,6,0,1.16
25,4563,11134,181706,42123,6,0,1.16
26,4563,11134,181706,42123,7,0,1.16
27,4563,11134,181706,42123,7,0,1.16
28,4563,11134,181706,42123,7,0,1.16
29,4563,11134,181706,42123,7,0,1.16
30,4563,11134,181706,42123,8,0,1.16
31,7607,19470,687645,70258,8,0,6.29
32,7744,19470,687645,70258,8,0,6.29
33,7744,19470,687645,70258,8,0,6.29
34,7744,19470,687645,70258,9,0,6.29
35,7744,19470,687645,70258,9,0,6.29
36,7744,19470,687645,70258,9,0,6.29
37,7744,19470,687645,70258,9,0,6.29
38,7744,19470,687645,70258,10,0,6.29
39,10783,27786,1661738,76492,10,0,26.33
40,10920,27786,1661738,76492,10,0,26.33
41,10920,27786,1661738,76492,10,0,26.33
42,10920,27786,1661738,76492,11,0,26.33
43,10920,27786,1661738,76492,11,0,26.33
44,10920,27786,1661738,76492,11,0,26.33
45,10920,27786,1661738,76492,11,0,26.33
46,10920,27786,1661738,76492,12,0,26.33
47,13959,36102,2824879,365767,12,0,54.02
48,14096,36102,2824879,365767,12,0,54.03
49,14096,36102,2824879,365767,12,0,54.03
50,14096,36102,2824879,365767,13,0,54.03
51,14096,36102,2824879,365767,13,0,54.03
52,14096,36102,2824879,365767,13,0,54.03
53,14096,36102,2824879,365767,13,0,54.03
54,14096,36102,2824879,365767,14,0,54.03
55,17135,44418,4216037,293465,14,0,96.83
56,17272,44418,4216037,293465,14,0,96.83
57,17272,44418,4216037,293465,14,0,96.83
58,17272,44418,4216037,293465,14,0,96.83
59,17272,44418,4216037,293465,15,0,96.83
60,17272,44418,4216037,293465,15,0,96.83
61,17272,44418,4216037,293465,15,0,96.83
62,17272,44418,4216037,293465,15,0,96.83
63,20311,52734,5393604,1471031,16,0,128.72
64,20448,52734,5393604,1471031,16,0,128.73
65,20448,52734,5393604,1471031,16,0,128.73
66,20448,52734,5393604,1471031,16,0,128.73
67,20448,52734,5393604,1471031,17,0,128.73
68,20448,52734,5393604,1471031,17,0,128.73
69,20448,52734,5393604,1471031,17,0,128.73
70,20448,52734,5393604,1471031,17,0,128.73
71,23487,61052,6115483,2192909,18,0,142.89
72,23624,61052,6115483,2192909,18,0,142.89
73,23624,61052,6115483,2192909,18,0,142.90
74,23624,61052,6115483,2192909,18,0,142.90
75,23624,61052,6115483,2192909,19,0,142.90
76,23624,61052,6115483,2192909,19,0,142.90
77,23624,61052,6115483,2192909,19,0,142.90
78,23624,61052,6115483,2192909,19,0,142.90
79,26663,69370,7217329,3294754,20,0,171.87
80,26800,69370,7217329,3294754,20,0,171.87
81,26800,69370,7217329,3294754,20,0,171.87
82,26800,69370,7217329,3294754,20,0,171.87
83,26800,69370,7217329,3294754,21,0,171.87
84,26800,69370,7217329,3294754,21,0,171.87
85,26800,69370,7217329,3294754,21,0,171.87
86,26800,69370,7217329,3294754,21,0,171.87
87,29839,77688,8638322,4715746,22,0,215.05
88,29976,77688,8638322,4715746,22,0,215.05
89,29976,77688,8638322,4715746,22,0,215.05
90,29976,77688,8638322,4715746,22,0,215.05
91,29976,77688,8638322,4715746,23,0,215.05
92,29976,77688,8638322,4715746,23,0,215.05
93,29976,77688,8638322,4715746,23,0,215.05
94,29976,77688,8638322,4715746,23,0,215.05
95,33015,85998,10258390,839539,24,0,287.38
96,33152,85998,10258390,839539,24,0,287.38
97,33152,85998,10258390,839539,24,0,287.38
98,33152,85998,10258390,839539,24,0,287.38
99,33152,85998,10258390,839539,25,0,287.38
100,33152,85998,10258390,839539,25,0,287.38
101,33152,85998,10258390,839539,25,0,287.38
102,33152,85998,10258390,839539,25,0,287.38
103,36191,94314,11147903,1729051,26,0,301.99
104,36328,94314,11147903,1729051,26,0,302.00
105,36328,94314,11147903,1729051,26,0,302.00
106,36328,94314,11147903,1729051,26,0,302.00
107,36328,94314,11147903,1729051,27,0,302.00
108,36328,94314,11147903,1729051,27,0,302.00
109,36328,94314,11147903,1729051,27,0,302.00
110,36328,94314,11147903,1729051,27,0,302.00
111,39367,102632,12150712,2731859,27,0,324.78
112,39504,102632,12150712,2731859,28,0,324.79
113,39504,102632,12150712,2731859,28,0,324.79
114,39504,102632,12150712,2731859,28,0,324.79
115,39504,102632,12150712,2731859,28,0,324.79
116,39504,102632,12150712,2731859,29,0,324.79
117,39504,102632,12150712,2731859,29,0,324.79
118,39504,102632,12150712,2731859,29,0,324.79
119,42543,110950,13604001,4185147,29,0,373.86
120,42680,110950,13604001,4185147,30,0,373.86
121,42680,110950,13604001,4185147,30,0,373.86
122,42680,110950,13604001,4185147,30,0,373.86
123,42680,110950,13604001,4185147,30,0,373.86
124,42680,110950,13604001,4185147,31,0,373.86
125,42680,110950,13604001,4185147,31,0,373.86
126,42680,110950,13604001,4185147,31,0,373.86
127,45719,119262,15183050,5764195,31,0,433.86
128,45856,119262,15183050,5764195,32,0,433.86
129,45856,119262,15183050,5764195,32,0,433.86
130,45856,119262,15183050,5764195,32,0,433.86
131,45856,119262,15183050,5764195,32,0,433.86
132,45856,119262,15183050,5764195,33,0,433.86
133,45856,119262,15183050,5764195,33,0,433.86
134,45856,119262,15183050,5764195,33,0,433.86
135,48895,127580,16436341,7017485,33,0,482.21
136,49032,127580,16436341,7017485,34,0,482.21
137,49032,127580,16436341,7017485,34,0,482.21
138,49032,127580,16436341,7017485,34,0,482.21
139,49032,127580,16436341,7017485,34,0,482.21
140,49032,127580,16436341,7017485,35,0,482.21
141,49032,127580,16436341,7017485,35,0,482.21
142,49032,127580,16436341,7017485,35,0,482.21
143,52071,135898,17387657,7968800,35,0,512.84
144,52208,135898,17387657,7968800,36,0,512.84
145,52208,135898,17387657,7968800,36,0,512.84
146,52208,135898,17387657,7968800,36,0,512.84
147,52208,135898,17387657,7968800,36,0,512.84
148,52208,135898,17387657,7968800,37,0,512.84
149,52208,135898,17387657,7968800,37,0,512.84
150,52208,135898,17387657,7968800,37,0,512.84
151,55247,144216,18960374,9541516,37,0,576.18
152,55384,144216,18960374,9541516,38,0,576.18
153,55384,144216,18960374,9541516,38,0,576.18
154,55384,144216,18960374,9541516,38,0,576.18
155,55384,144216,18960374,9541516,38,0,576.18
156,55384,144216,18960374,9541516,39,0,576.18
157,55384,144216,18960374,9541516,39,0,576.18
158,55384,144216,18960374,9541516,39,0,576.18
159,58423,152526,20345652,10926793,39,0,627.18
160,58560,152526,20345652,10926793,40,0,627.19
161,58560,152526,20345652,10926793,40,0,627.19
162,58560,152526,20345652,10926793,40,0,627.19
163,58560,152526,20345652,10926793,40,0,627.19
164,58560,152526,20345652,10926793,41,0,627.19
165,58560,152526,20345652,10926793,41,0,627.19
166,58560,152526,20345652,10926793,41,0,627.19
167,61599,160844,21543248,12124388,41,0,671.54
168,61736,160844,21543248,12124388,41,0,671.54
169,61736,160844,21543248,12124388,42,0,671.54
170,61736,160844,21543248,12124388,42,0,671.54
171,61736,160844,21543248,12124388,42,0,671.54
172,61736,160844,21543248,12124388,42,0,671.54
173,61736,160844,21543248,12124388,43,0,671.54
174,61736,160844,21543248,12124388,43,0,671.54
175,64775,169162,22581843,13162982,43,0,711.93
176,64912,169162,22581843,13162982,43,0,711.93
177,64912,169162,22581843,13162982,44,0,711.93
178,64912,169162,22581843,13162982,44,0,711.93
179,64912,169162,22581843,13162982,44,0,711.93
180,64912,169162,22581843,13162982,44,0,711.93
181,64912,169162,22581843,13162982,45,0,711.93
182,64912,169162,22581843,13162982,45,0,711.93
183,67951,177480,23985771,14566909,45,0,771.73
184,68088,177480,23985771,14566909,45,0,771.73
185,68088,177480,23985771,14566909,46,0,771.73
186,68088,177480,23985771,14566909,46,0,771.73
187,68088,177480,23985771,14566909,46,0,771.73
188,68088,177480,23985771,14566909,46,0,771.73
189,68088,177480,23985771,14566909,47,0,771.73
190,68088,177480,23985771,14566909,47,0,771.73
191,71127,185790,25142782,15723919,47,0,822.30
192,71264,185790,25142782,15723919,47,0,822.30
193,71264,185790,25142782,15723919,48,0,822.30
194,71264,185790,25142782,15723919,48,0,822.30
195,71264,185790,25142782,15723919,48,0,822.30
196,71264,185790,25142782,15723919,48,0,822.30
197,71264,185790,25142782,15723919,49,0,822.30
198,71264,185790,25142782,15723919,49,0,822.30
199,74303,194108,26195029,16776165,49,0,866.59
200,74440,194108,26195029,16776165,49,0,866.59
201,74440,194108,26195029,16776165,50,0,866.59
202,74440,194108,26195029,16776165,50,0,866.59
203,74440,194108,26195029,16776165,50,0,866.59
204,74440,194108,26195029,16776165,50,0,866.59
205,74440,194108,26195029,16776165,51,0,866.59
206,74440,194108,26195029,16776165,51,0,866.59
207,77479,202426,27420820,18001955,51,0,925.82
208,77616,202426,27420820,18001955,51,0,925.83
209,77616,202426,27420820,18001955,52,0,925.83
210,77616,202426,27420820,18001955,52,0,925.83
211,77616,202426,27420820,18001955,52,0,925.83
212,77616,202426,27420820,18001955,52,0,925.83
213,77616,202426,27420820,18001955,53,0,925.83
214,77616,202426,27420820,18001955,53,0,925.83
215,80655,210738,29042911,19624045,53,0,1019.26
216,80792,210738,29042911,19624045,53,0,1019.26
