F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.13
1,1,0,0,0,0,0,0.13
2,1,0,0,0,1,0,0.13
3,1,0,0,0,1,0,0.13
4,1,0,0,0,1,0,0.14
5,1,0,0,0,1,0,0.14
6,1,0,0,0,1,0,0.14
7,1,0,0,0,2,0,0.15
8,1,0,0,0,2,0,0.15
9,1,0,0,0,2,0,0.15
10,1,0,0,0,2,0,0.16
11,1,0,0,0,2,0,0.16
12,1,0,0,0,3,0,0.16
13,1,0,0,0,3,0,0.17
14,1,0,0,0,3,0,0.17
15,1,0,0,0,3,0,0.17
16,1,0,0,0,3,0,0.18
17,1,0,0,0,4,0,0.18
18,1,0,0,0,4,0,0.18
19,1,0,0,0,4,0,0.19
20,1,0,0,0,4,0,0.19
21,1,0,0,0,4,0,0.19
22,1,0,0,0,5,0,0.20
23,1,0,0,0,5,0,0.20
24,1,0,0,0,5,0,0.21
25,1,0,0,0,5,0,0.21
26,1,0,0,0,5,0,0.21
27,1,0,0,0,5,0,0.22
28,31629,116725,11,7,6,0,0.27
29,34243,127312,11,7,6,0,0.28
30,46575,174165,16,11,6,0,0.30
31,48422,181689,16,11,6,0,0.32
32,62118,234365,59,50,6,0,0.35
33,66746,253660,59,50,7,0,0.37
34,83024,317728,86,76,7,0,0.40
35,85999,330258,86,76,7,0,0.42
36,103130,396687,148,133,7,0,0.46
37,108641,420098,148,133,7,0,0.48
38,129085,499585,245,229,8,0,0.53
39,133014,516578,245,229,8,0,0.55
40,153859,598993,341,306,8,0,0.65
41,159516,622933,341,306,8,0,0.68
42,182306,712864,418,382,8,0,0.73
43,186997,732604,418,382,9,0,0.75
44,211559,774031,832,772,9,0,1.07
45,221067,814655,832,772,9,0,1.10
46,247485,916844,1116,1055,9,0,1.18
47,253854,944638,1116,1055,9,0,1.20
48,281464,1052189,1830,1764,10,0,1.35
49,287950,1080463,1830,1764,10,0,1.37
50,316734,1193146,2385,2317,10,0,1.45
51,323336,1222147,2385,2317,10,0,1.48
52,352075,1337880,3051,2981,10,0,1.61
53,358679,1366989,3051,2981,11,0,1.63
54,387420,1483012,4589,4518,11,0,1.85
55,394024,1512145,4589,4518,11,0,1.86
