F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.15
1,1,0,0,0,1,0,0.15
2,1,0,0,0,1,0,0.15
3,1,0,0,0,1,0,0.15
4,1,0,0,0,1,0,0.15
5,1,0,0,0,2,0,0.16
6,1,0,0,0,2,0,0.16
7,1,0,0,0,2,0,0.16
8,1,0,0,0,2,0,0.17
9,1,0,0,0,3,0,0.17
10,1,0,0,0,3,0,0.18
11,10654,37632,360,359,3,0,0.20
12,10654,37632,360,359,3,0,0.21
13,18425,66944,1857,1855,4,0,0.27
14,18425,66944,1857,1855,4,0,0.28
15,29134,108775,3504,3500,4,0,0.40
16,29134,108775,3504,3500,4,0,0.41
17,41599,157555,17288,10900,5,0,1.66
18,41599,157555,17288,10900,5,0,1.66
19,67945,263502,54482,12962,5,0,5.87
20,67945,263502,54482,12962,5,0,5.88
21,116412,466525,94911,53388,6,0,13.04
22,116412,466525,94911,53388,6,0,13.05
23,163923,667463,162803,69087,6,0,26.45
24,163923,667463,162803,69087,7,0,26.45
25,220281,911582,225742,132016,7,0,51.11
26,220281,911582,225742,132016,7,0,51.12
27,277098,1158000,262690,168958,7,0,60.61
28,277098,1158000,262690,168958,8,0,60.61
29,336684,1418361,323938,230203,8,0,84.56
30,336684,1418361,323938,230203,8,0,84.57
31,397360,1683540,368927,275190,8,0,104.16
32,397360,1683540,368927,275190,9,0,104.17
33,458529,1950926,403105,309366,9,0,121.74
34,458529,1950926,403105,309366,9,0,121.74
35,519094,2215874,677719,112190,9,0,336.13
36,519094,2215874,677719,112190,10,0,336.13
37,579396,2479618,778284,212751,10,0,383.05
38,579396,2479618,778284,212751,10,0,383.05
39,640444,2746449,838158,272622,10,0,421.96
40,640444,2746449,838158,272622,11,0,421.97
41,701754,3014224,1815261,221887,11,0,1483.85
42,701754,3014224,1815261,221887,11,0,1483.87
43,762319,3279120,2405004,811628,11,0,2110.63
44,762319,3279120,2405004,811628,12,0,2110.64
45,822621,3542983,2494158,900779,12,0,2195.87
46,822621,3542983,2494158,900779,12,0,2195.88
47,883669,3809938,2711735,1118353,13,0,2460.08
48,883669,3809938,2711735,1118353,13,0,2460.08
49,944979,4077981,2980606,1387221,13,0,2875.86
50,944979,4077981,2980606,1387221,13,0,2875.86
51,1005544,4342936,3349483,1756096,14,0,3369.66
52,1005544,4342936,3349483,1756096,14,0,3369.67
