F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,320,458,1,0,0,0,0.01
2,1810,6268,2,0,0,0,0.01
3,3300,12078,3,0,0,0,0.01
4,4790,17888,4,0,0,0,0.02
5,6280,23698,5,0,0,0,0.02
6,7770,29508,6,0,0,0,0.02
7,9260,35318,9,2,0,0,0.02
8,10750,41128,11,3,0,0,0.02
9,12240,46938,15,6,0,0,0.02
10,13730,52748,24,14,0,0,0.03
11,15220,58558,27,16,0,0,0.03
12,16710,64368,35,23,0,0,0.03
13,18200,70178,42,29,0,0,0.03
14,19690,75988,46,32,0,0,0.04
15,21180,81798,63,48,0,0,0.04
16,22670,87608,70,54,0,0,0.05
17,24160,93418,90,73,0,0,0.05
18,25650,99228,102,84,0,0,0.06
19,27140,105038,114,95,0,0,0.06
20,28630,110848,123,103,0,0,0.07
21,30120,116658,151,130,0,0,0.07
22,31610,122468,166,144,0,0,0.08
23,33100,128278,181,158,0,0,0.08
24,34590,134088,246,222,0,0,0.09
25,36080,139898,282,257,0,0,0.10
26,37570,145708,367,341,0,0,0.11
27,39060,151518,391,364,0,0,0.12
28,40550,157328,398,370,0,0,0.13
29,42040,163138,456,427,0,0,0.14
30,43530,168948,497,467,0,0,0.15
31,45020,174758,519,488,0,0,0.16
32,46510,180568,555,523,0,0,0.18
33,48000,186378,569,536,0,0,0.18
34,49490,192188,584,550,0,0,0.19
35,50980,197998,645,610,0,0,0.21
36,52470,203808,665,629,0,0,0.22
37,53960,209618,688,651,0,0,0.23
38,55450,215428,813,775,0,0,0.25
39,56940,221238,837,798,0,0,0.26
40,58430,227048,908,868,0,0,0.27
41,59920,232858,963,922,0,0,0.29
42,61410,238668,1010,968,0,0,0.31
43,62900,244478,1266,1223,0,0,0.36
44,64390,250288,1307,1263,0,0,0.37
45,65880,256098,1327,1282,0,0,0.39
46,67370,261908,1382,1336,0,0,0.41
47,68860,267718,1645,1598,0,0,0.47
48,70350,273528,1868,1820,0,0,0.55
49,71840,279338,2175,2126,0,0,0.70
50,73330,285148,2659,2609,0,0,0.88
51,74820,290958,3389,3338,0,0,1.20
52,76310,296768,3622,3570,0,0,1.33
53,77800,302578,3805,3752,0,0,1.44
54,79290,308388,4322,4268,0,0,1.93
55,80780,314198,19368,6834,0,0,24.49
56,82270,320008,33621,21086,0,0,41.17
57,83760,325818,52552,40016,0,0,71.12
58,85250,331628,57985,45448,0,0,81.29
59,86740,337438,59801,47263,0,0,84.33
60,88230,343248,63633,51094,0,0,91.19
61,89720,349058,65128,52588,0,0,92.92
62,91210,354868,66626,54085,0,0,95.24
63,92700,360678,67933,55391,0,0,97.64
64,94190,366488,72417,59874,0,0,106.25
65,95680,372302,72595,60051,0,0,106.32
66,97170,378116,72721,60176,0,0,106.38
67,98660,383930,72840,60294,1,0,106.41
68,100150,389728,74180,61633,1,0,108.88
69,101640,395538,80219,67671,1,0,121.75
70,103130,401348,87946,75397,1,0,135.74
71,104620,407158,89797,77247,1,0,139.66
72,106110,412968,91031,78480,1,0,141.78
73,107600,418782,91047,78495,1,0,141.81
74,109090,424588,92771,80218,1,0,145.27
75,110580,430398,94045,81491,1,0,147.77
76,112070,436208,98981,86426,1,0,157.79
77,113560,442018,99827,87271,1,0,158.76
78,115050,447828,100490,87933,1,0,159.99
79,116540,453638,101055,88497,1,0,161.34
80,118030,459448,101330,88771,1,0,161.88
81,119520,465258,101467,88907,1,0,162.17
82,121010,471068,101598,89037,1,0,162.41
83,122500,476878,103971,91409,1,0,166.62
84,123990,482688,104403,91840,1,0,167.77
85,125480,488498,104976,92412,1,0,169.01
86,126970,494308,109016,96451,1,0,176.33
87,128460,500122,109046,96480,1,0,176.36
88,129950,505936,109100,96533,1,0,176.38
89,131440,511750,109122,96554,1,0,176.40
90,132930,517564,109204,96635,1,0,176.43
91,134420,523378,109237,96667,1,0,176.45
92,135910,529192,109281,96710,1,0,176.50
93,137400,534978,109463,96891,1,0,176.73
94,138890,540788,110180,97607,1,0,178.83
95,140380,546598,111899,99325,1,0,182.30
96,141870,552408,112089,99514,1,0,182.59
97,143360,558218,114066,101490,1,0,187.50
98,144850,564028,116193,103616,1,0,192.03
99,146340,569838,120092,107514,1,0,201.25
100,147830,575652,120111,107532,1,0,201.27
101,149320,581458,127622,115042,1,0,219.32
102,150810,587268,129305,116724,1,0,223.38
103,152300,593078,130108,117526,1,0,225.22
104,153790,598888,131425,118842,1,0,228.24
105,155280,604698,133086,120502,1,0,231.60
106,156770,610508,136030,123445,1,0,238.20
107,158260,616322,136068,123482,1,0,238.26
108,159750,622136,136087,123500,1,0,238.29
109,161240,627938,136254,123666,1,0,238.63
110,162730,633748,138328,125739,1,0,243.86
111,164220,639558,140443,127853,1,0,247.79
112,165710,645368,144433,131842,1,0,257.40
113,167200,651182,144457,131865,1,0,257.41
114,168690,656996,144483,131890,1,0,257.44
115,170180,662810,144500,131906,1,0,257.47
116,171670,668624,144674,132079,1,0,257.86
117,173160,674418,144916,132320,1,0,258.50
118,174650,680228,145070,132473,1,0,258.58
119,176140,686038,145095,132497,1,0,258.60
120,177630,691848,145144,132545,1,0,258.64
121,179120,697658,145182,132582,1,0,258.68
122,180610,703468,145233,132632,1,0,258.71
123,182100,709278,145255,132653,1,0,258.76
124,183590,715088,145330,132727,1,0,258.81
125,185080,720898,145509,132905,1,0,258.89
126,186570,726708,145560,132955,1,0,258.92
127,188060,732518,145578,132972,1,0,258.94
128,189550,738328,145626,133019,1,0,258.98
129,191040,744138,145805,133197,1,0,259.09
130,192530,749948,146176,133567,1,0,259.27
131,194020,755758,146240,133630,1,0,259.36
132,195510,761568,146272,133661,1,0,259.42
133,197000,767378,146279,133667,1,0,259.45
134,198490,773188,146326,133713,1,0,259.49
135,199980,778998,146351,133737,1,0,259.51
136,201470,784808,146371,133756,1,0,259.54
137,202960,790618,146408,133792,1,0,259.57
138,204450,796428,146458,133841,1,0,259.61
139,205940,802238,146485,133867,1,0,259.65
140,207430,808048,146505,133886,1,0,259.68
141,208920,813858,146525,133905,1,0,259.71
142,210410,819668,146545,133924,1,0,259.74
143,211900,825478,146565,133943,1,0,259.76
144,213390,831288,146598,133975,1,0,259.79
145,214880,837098,146625,134001,1,0,259.83
146,216370,842908,146635,134010,1,0,259.87
147,217860,848718,146674,134048,1,0,259.90
148,219350,854528,146714,134087,1,0,259.95
149,220840,860338,146861,134233,1,0,260.06
150,222330,866148,146942,134313,1,0,260.11
151,223820,871958,147169,134539,1,0,260.22
152,225310,877768,147258,134627,1,0,260.28
153,226800,883578,147277,134645,1,0,260.31
154,228290,889388,147374,134741,1,0,260.40
155,229780,895198,147440,134806,1,0,260.46
156,231270,901008,147456,134821,1,0,260.50
157,232760,906818,147499,134863,1,0,260.55
158,234250,912628,147703,135066,1,0,260.70
159,235740,918438,147815,135177,1,0,260.79
160,237230,924248,147828,135189,1,0,260.82
161,238720,930058,147848,135208,1,0,260.85
162,240210,935868,147888,135247,1,0,260.88
163,241700,941678,147907,135265,1,0,260.91
164,243190,947488,147967,135324,1,0,260.94
165,244680,953298,147989,135345,1,0,260.97
166,246170,959108,147999,135354,1,0,261.00
167,247660,964918,148031,135385,1,0,261.04
168,249150,970728,148066,135419,1,0,261.09
169,250640,976538,148108,135460,1,0,261.13
170,252130,982348,148171,135522,1,0,261.19
171,253620,988158,148250,135600,1,0,261.26
172,255110,993968,148354,135703,1,0,261.44
173,256600,999778,148735,136083,1,0,261.78
174,258090,1005588,148862,136209,1,0,261.94
175,259580,1011398,149002,136348,1,0,262.13
176,261070,1017208,149117,136462,1,0,262.31
177,262560,1023018,149877,137221,1,0,263.40
178,264050,1028828,149896,137239,1,0,263.46
179,265540,1034638,149973,137315,1,0,263.61
