F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.01
1,240,738,1,0,0,0,0.01
2,648,2215,2,0,0,0,0.01
3,1211,4392,3,0,0,0,0.01
4,1809,6728,4,0,0,0,0.02
5,2468,9327,14,9,0,0,0.02
6,3181,12162,41,35,0,0,0.02
7,3952,15244,91,84,0,0,0.02
8,4777,18561,224,216,0,0,0.03
9,5658,22119,440,431,0,0,0.03
10,6593,25912,981,971,0,0,0.07
11,7588,29958,2472,2461,0,0,0.16
12,8637,34239,6411,4174,0,0,0.46
13,9742,38761,14060,6439,0,0,1.29
14,10901,43518,25551,17929,0,0,2.83
15,12118,48522,41407,17922,0,0,5.89
16,13389,53761,70967,26721,0,0,12.66
17,14716,59241,134528,35752,0,0,30.34
18,16097,64956,255485,38871,0,0,72.70
19,17536,70918,570464,49845,0,0,202.67
20,19029,77115,896288,375668,0,0,405.38
21,20578,83553,1484744,61942,0,0,905.25
22,22185,90254,2659374,135603,0,0,1952.68
23,23810,97040,3812207,1288435,0,0,3590.17
