F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,434,554,1,0,0,0,0.02
2,3777,13513,2,0,0,0,0.03
3,7120,26472,3,0,0,0,0.03
4,10463,39431,4,0,0,0,0.04
5,13806,52390,8,3,0,0,0.04
6,17149,65349,21,15,0,0,0.05
7,20492,78308,56,49,0,0,0.06
8,23835,91267,384,376,0,0,0.14
9,27178,104122,1625,1614,0,0,0.52
10,30521,117032,4591,2786,0,0,1.39
11,33864,129680,11130,9317,0,0,3.76
12,37207,142445,27568,10227,0,0,10.11
13,40550,155166,57991,23742,0,0,25.18
14,43893,167867,110413,23866,0,0,61.78
15,47236,180766,205662,39688,0,0,144.46
16,50579,193602,436659,36367,0,0,398.48
17,53922,206369,809056,96124,0,0,875.64
18,57265,219114,1543932,90934,0,0,2242.99
