F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,1,0,0,0,0,0,0.02
2,1198,4113,1,0,0,0,0.02
3,2444,8727,2,0,0,0,0.02
4,4137,15114,3,0,0,0,0.02
5,6145,22781,4,0,0,0,0.03
6,8360,31449,5,0,0,0,0.03
7,10627,40427,6,0,0,0,0.03
8,12936,49597,7,0,0,0,0.04
9,15269,58900,10,2,0,0,0.04
10,17602,68247,15,6,0,0,0.05
11,19935,77594,24,14,0,0,0.06
12,22268,86941,45,34,0,0,0.07
13,24601,96288,89,77,0,0,0.08
14,26934,105635,181,168,0,0,0.11
15,29267,114982,379,365,0,0,0.15
16,31600,124329,627,612,0,0,0.22
17,33933,133676,1059,1043,0,0,0.37
18,36266,143023,1556,1539,0,0,0.57
19,38599,152370,2224,2206,0,0,0.87
20,40932,161717,3051,3032,0,0,1.26
21,43265,171064,5004,4984,0,0,2.17
22,45598,180411,8748,5240,0,0,3.97
23,47931,189758,12278,8769,0,0,5.52
24,50264,199105,16848,13338,0,0,8.39
25,52597,208452,19999,16488,0,0,10.24
26,54930,217748,27969,12917,0,0,16.39
27,57263,227095,39481,24428,0,0,25.77
28,59596,236442,46709,31655,0,0,30.98
29,61929,245738,53989,38933,0,0,38.42
30,64262,255034,63683,48625,0,0,50.47
31,66595,264332,76716,61656,0,0,68.69
32,68928,273283,97076,44290,0,0,98.26
33,71261,282528,126095,39368,0,0,150.25
34,73594,291773,141623,54893,0,0,177.54
35,75927,301106,154386,67655,0,0,200.55
36,78260,310453,166691,79959,0,0,224.76
37,80593,319800,187203,100470,0,0,275.53
38,82926,329096,206155,119420,0,0,320.59
39,85259,338190,227093,140352,0,0,379.39
40,87592,347384,265472,90554,0,0,503.99
41,89925,356590,338282,48411,1,0,754.93
42,92258,365661,444284,85821,1,0,1149.92
43,94591,374853,584213,64991,1,0,1686.48
44,96924,383896,763409,129205,1,0,2440.03
