F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,23,58,1,0,0,0,0.02
2,733,2357,2,0,0,0,0.02
3,2192,7960,25,22,0,0,0.03
4,3716,13949,43,39,0,0,0.03
5,5240,19938,81,76,0,0,0.03
6,6764,25927,182,176,0,0,0.04
7,8288,31916,494,487,0,0,0.06
8,9812,37905,1037,1029,0,0,0.10
9,11336,43894,2178,2169,0,0,0.18
10,12860,49883,3143,3133,0,0,0.25
11,14384,55872,4645,4634,0,0,0.43
12,15908,61861,7187,3860,0,0,0.68
13,17432,67850,14634,6080,0,0,1.81
14,18956,73839,25237,16682,0,0,3.19
15,20480,79828,36020,27464,0,0,4.62
16,22004,85817,46127,37570,0,0,6.08
17,23528,91806,64124,29884,0,0,8.97
18,25052,97795,82112,47871,0,0,12.05
19,26576,103784,100117,65875,0,0,15.69
20,28100,109773,132048,53068,0,0,24.93
21,29624,115762,145738,66757,0,0,27.36
22,31148,121751,161342,82360,0,0,31.52
23,32672,127740,170148,91165,0,0,34.48
24,34196,133729,179597,100613,0,0,37.57
25,35720,139718,214827,135842,0,0,50.49
26,37244,145707,234601,155615,0,0,59.41
27,38768,151696,278219,103430,0,0,83.56
28,40292,157685,402166,36217,0,0,131.11
29,41816,163674,595289,77446,0,0,219.47
30,43340,169663,876444,65146,0,0,398.31
31,44864,175652,1984547,140963,0,0,905.17
32,46388,181641,2395883,552298,0,0,1267.51
33,47912,187630,3189032,1345446,0,0,2860.09
