F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.14
1,4173,5303,1,0,0,0,0.14
2,51295,178234,2,0,1,0,0.20
3,98417,351165,4,1,1,0,0.28
4,145539,524096,10,6,1,0,0.37
5,192661,697027,84,79,1,0,0.48
6,239783,869958,215,209,1,0,0.62
7,286905,1042889,445,438,2,0,0.87
8,334027,1215820,599,591,2,0,1.16
9,381149,1388751,908,899,2,0,1.61
10,428271,1561682,1426,1416,2,0,2.30
11,475393,1734613,2008,1997,2,0,3.19
12,522515,1907544,2636,2624,3,0,4.41
13,569637,2080475,3518,3505,3,0,6.98
14,616759,2253387,4590,4575,3,0,9.38
15,663881,2426318,5599,5583,3,0,11.78
16,711003,2599249,7346,7329,3,0,15.62
17,758125,2772180,8671,8653,4,0,20.63
18,805247,2945111,10477,10458,4,0,27.32
19,852369,3118042,11967,11947,4,0,33.57
20,899491,3290954,13816,13794,4,0,38.82
21,946613,3463885,16562,8781,4,0,54.59
22,993735,3636816,19505,11723,5,0,66.24
23,1040857,3809747,23089,15306,5,0,85.09
24,1087979,3982673,25460,17675,5,0,100.60
25,1135101,4155604,28297,20511,5,0,117.56
26,1182223,4328516,31987,24199,5,0,146.06
27,1229345,4501442,36809,29019,6,0,174.31
28,1276467,4674373,41379,33588,6,0,225.91
29,1323589,4847304,45480,37688,6,0,270.52
30,1370711,5020235,49444,41651,6,0,302.36
31,1417833,5193042,53971,46175,7,0,337.07
32,1464955,5365973,58603,50806,7,0,392.57
33,1512077,5538904,65458,57660,7,0,476.48
34,1559199,5711816,72059,64259,7,0,578.49
35,1606321,5884747,80152,72351,7,0,725.80
36,1653443,6057658,86335,78532,8,0,833.83
37,1700565,6230585,95629,45053,8,0,1077.58
38,1747687,6403516,102916,52339,8,0,1225.77
39,1794809,6576447,111305,60727,8,0,1376.13
40,1841931,6749378,120462,69883,8,0,1559.43
41,1889053,6922309,133969,83389,9,0,1929.14
42,1936175,7095235,145401,94819,9,0,2406.25
43,1983297,7268166,158620,108037,9,0,2863.31
44,2030419,7441097,174979,124395,9,0,3347.49
