F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,4594,16548,1,0,0,0,0.03
2,9305,34314,4,2,0,0,0.04
3,14016,52080,42,39,0,0,0.04
4,18727,69846,145,141,0,0,0.06
5,23438,87612,386,381,0,0,0.08
6,28149,105378,601,595,0,0,0.10
7,32860,123144,1051,1044,0,0,0.14
8,37571,140910,1508,1500,0,0,0.18
9,42282,158676,1931,1922,0,0,0.24
10,46993,176442,2117,2107,0,0,0.29
11,51704,194208,2548,2537,0,0,0.44
12,56415,211974,4221,4209,0,0,0.98
13,61126,229740,6794,3692,0,0,1.73
14,65837,247506,11799,8696,0,0,3.19
15,70548,265272,41232,14473,0,0,9.79
16,75259,283038,51878,25118,0,0,12.88
17,79970,300804,66683,39922,0,0,19.76
18,84681,318570,111688,46973,0,0,41.74
19,89392,336336,162210,97494,0,0,77.34
20,94103,354102,2128357,137625,0,0,2399.96
21,98814,371868,2366168,375435,0,0,2804.19
22,103525,389634,2765674,774940,0,0,3258.55
