F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.07
1,20204,76223,1,0,0,0,0.09
2,40493,153155,2,0,0,0,0.10
3,60782,230087,3,0,0,0,0.12
4,81071,307019,4,0,0,0,0.15
5,101360,383951,7,2,0,0,0.17
6,121649,460883,60,54,1,0,0.29
7,141938,537815,165,158,1,0,0.47
8,162227,614747,414,406,1,0,1.01
9,182516,691679,852,843,1,0,1.63
10,202805,768611,1925,1915,1,0,2.90
11,223094,845543,4753,2809,1,0,6.21
12,243383,922475,7472,5527,1,0,9.16
13,263672,999407,11891,9945,1,0,14.07
14,283961,1076339,16767,14820,1,0,22.42
15,304250,1153271,25557,12911,1,0,36.11
16,324539,1230203,40037,14043,1,0,58.71
17,344828,1307135,60701,34706,1,0,94.20
18,365117,1384067,89487,34362,2,0,156.05
19,385406,1460999,123977,68851,2,0,238.05
20,405695,1537931,172909,65366,2,0,363.09
21,425984,1614863,223916,58187,2,0,508.13
22,446273,1691795,311638,82562,2,0,791.12
23,466562,1768727,415745,100999,2,0,1127.66
24,486851,1845659,512109,197362,2,0,1447.98
25,507140,1922591,696538,78488,2,0,2164.47
