F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.04
1,11269,39611,1,0,0,0,0.05
2,22668,80192,2,0,0,0,0.07
3,34067,120773,3,0,0,0,0.08
4,45466,161354,128,124,0,0,0.12
5,56865,201935,717,712,0,0,0.28
6,68264,242516,2083,2077,0,0,0.75
7,79663,283097,6286,4246,0,0,3.43
8,91062,323640,14896,7438,0,0,7.87
9,102461,364221,29033,10959,0,0,17.62
10,113860,404802,60722,25386,1,0,45.19
11,125259,445383,94603,59266,1,0,80.52
12,136658,485907,185395,24341,1,0,195.51
13,148057,526450,314337,85318,1,0,389.53
14,159456,567031,527628,67794,1,0,776.65
15,170855,607612,904178,85703,1,0,1542.17
16,182254,648193,1316315,261197,1,0,2684.46
