F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,602,2009,1,0,0,0,0.03
2,1505,5401,2,0,0,0,0.03
3,3072,11495,3,0,0,0,0.03
4,5562,21872,4,0,0,0,0.04
5,8644,34642,5,0,0,0,0.04
6,12110,48916,6,0,0,0,0.05
7,15983,64800,7,0,0,0,0.06
8,20292,82429,8,0,0,0,0.07
9,25087,102048,9,0,0,0,0.08
10,30395,123795,10,0,0,0,0.09
11,36060,147148,11,0,0,0,0.11
12,41980,171647,12,0,0,0,0.13
13,48128,197150,13,0,0,0,0.15
14,54475,223521,14,0,1,0,0.17
15,60988,250627,15,0,1,0,0.20
16,67609,278228,16,0,1,0,0.22
17,74284,306088,17,0,1,0,0.24
18,80984,334072,18,0,1,0,0.27
19,87684,362066,19,0,1,0,0.30
20,94384,390063,20,0,1,0,0.33
21,101084,418060,21,0,1,0,0.36
22,107784,446057,22,0,1,0,0.39
23,114484,474054,23,0,1,0,0.42
24,121184,502051,24,0,1,0,0.45
25,127884,530048,25,0,1,0,0.49
26,134584,558045,26,0,1,0,0.53
27,141284,586042,27,0,1,0,0.57
28,147984,614039,28,0,1,0,0.61
29,154684,642036,33,4,1,0,0.66
30,161384,670033,40,10,1,0,0.70
31,168084,698030,48,17,1,0,0.76
32,174784,726027,71,39,1,0,0.82
33,181484,754024,121,88,1,0,0.92
34,188184,782021,146,112,1,0,0.98
35,194884,810018,189,154,1,0,1.05
36,201584,838015,414,378,1,0,1.20
37,208284,866012,498,461,1,0,1.25
38,214984,894009,681,643,1,0,1.31
39,221684,922006,936,897,1,0,1.38
40,228384,950003,1227,1187,1,0,1.46
41,235084,978000,1768,1727,1,0,1.61
42,241784,1005997,2524,2482,1,0,2.12
43,248484,1033994,3420,3377,1,0,3.00
44,255184,1061991,4476,4432,2,0,4.11
45,261884,1089988,5147,5102,2,0,5.38
46,268584,1117985,5868,5822,2,0,6.01
47,275284,1145982,6665,6618,2,0,7.38
48,281984,1173979,7577,7529,2,0,8.65
49,288684,1201976,8364,8315,2,0,10.08
50,295384,1229973,9049,8999,2,0,11.13
51,302084,1257970,9265,9214,2,0,11.67
52,308784,1285967,9758,9706,2,0,12.77
53,315484,1313964,10383,10330,2,0,13.90
54,322184,1341961,10943,10889,2,0,14.65
55,328884,1369958,11718,11663,2,0,15.97
56,335584,1397955,12013,11957,2,0,16.62
57,342284,1425952,12585,12528,2,0,18.23
58,348984,1453949,13070,13012,2,0,18.87
59,355684,1481946,13367,13308,2,0,19.45
60,362384,1509943,14828,14768,2,0,22.89
61,369084,1537940,15668,15607,2,0,25.65
62,375784,1565937,16439,16377,2,0,29.24
63,382484,1593934,17064,17001,2,0,31.01
64,389184,1621931,17833,17769,2,0,34.31
65,395884,1649928,18496,18431,2,0,37.87
66,402584,1677925,19453,19387,2,0,43.94
67,409284,1705922,19943,19876,2,0,45.49
68,415984,1733919,20737,20669,2,0,48.11
69,422684,1761916,22037,21968,2,0,55.46
70,429384,1789913,23954,23884,2,0,66.99
71,436084,1817910,26930,13931,2,0,83.90
72,442784,1845907,29450,16450,2,0,101.83
73,449484,1873904,32945,19944,2,0,132.36
74,456184,1901901,36723,23721,3,0,169.86
75,462884,1929898,39125,26122,3,0,188.75
76,469584,1957895,40697,27693,3,0,206.63
77,476284,1985892,43067,30062,3,0,237.14
78,482984,2013889,44755,31749,3,0,246.22
79,489684,2041886,46019,33012,3,0,256.29
80,496384,2069883,47428,34420,3,0,264.50
81,503084,2097880,47873,34864,3,0,269.18
82,509784,2125877,48307,35297,3,0,277.00
83,516484,2153874,50337,37326,3,0,292.14
84,523184,2181871,52333,39321,3,0,299.82
85,529884,2209868,54132,41119,3,0,314.47
86,536584,2237865,56442,43428,3,0,327.62
87,543284,2265862,57473,44458,3,0,336.25
88,549984,2293859,59819,46803,3,0,345.59
89,556684,2321856,61209,48192,3,0,363.32
90,563384,2349853,62974,49956,3,0,384.33
91,570084,2377850,65553,52534,3,0,418.14
92,576784,2405847,69351,56331,3,0,495.35
93,583484,2433844,75337,62316,3,0,623.41
94,590184,2461841,80250,67228,3,0,804.73
95,596884,2489838,86036,73013,3,0,936.31
96,603584,2517835,91604,78580,3,0,1094.17
97,610284,2545832,100247,44702,3,0,1342.55
98,616984,2573829,107734,52188,3,0,1578.82
99,623684,2601826,116788,61241,3,0,2041.49
100,630384,2629823,126032,70484,3,0,2327.41
101,637084,2657820,137098,81549,3,0,2692.38
102,643784,2685817,149570,94020,3,0,3225.08
