F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.07
1,33664,117773,1,0,0,0,0.09
2,67511,237439,2,0,0,0,0.12
3,101358,357105,3,0,1,0,0.15
4,135205,476771,5,1,1,0,0.19
5,169052,596437,15,10,1,0,0.24
6,202899,716103,48,42,1,0,0.30
7,236746,835769,1756,1749,1,0,1.81
8,270593,955435,4367,2556,1,0,4.67
9,304440,1075101,7378,5566,1,0,7.76
10,338287,1194767,12029,10216,1,0,13.76
11,372134,1314433,17546,15732,2,0,21.24
12,405981,1434099,26363,12476,2,0,32.29
13,439828,1553765,34720,20832,2,0,44.80
14,473675,1673431,44094,30205,2,0,58.85
15,507522,1793097,61142,24013,2,0,86.99
16,541369,1912763,80347,43217,2,0,121.27
17,575216,2032429,102833,65702,2,0,167.36
18,609063,2152095,132776,49058,3,0,236.85
19,642910,2271761,169809,86090,3,0,323.52
20,676757,2391427,227343,40696,3,0,464.45
21,710604,2511093,412315,68450,3,0,1093.74
22,744451,2630759,480429,136563,3,0,1295.52
23,778298,2750425,523431,179564,3,0,1424.55
24,812145,2870091,568485,224617,3,0,1572.09
25,845992,2989757,616408,272539,4,0,1748.86
26,879839,3109423,678839,334969,4,0,1990.09
27,913686,3229089,721531,377660,4,0,2156.09
28,947533,3348755,780478,436606,4,0,2420.20
29,981380,3468421,834969,491096,4,0,2659.71
30,1015227,3588087,916683,572809,4,0,3052.84
31,1049074,3707753,994212,650337,4,0,3439.48
