F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.04
1,696,882,1,0,0,0,0.04
2,11566,40205,2,0,0,0,0.05
3,22436,79528,12,9,0,0,0.07
4,33306,118851,175,171,0,0,0.09
5,44176,158174,896,891,0,0,0.21
6,55046,197497,2339,2333,0,0,0.48
7,65916,236820,3858,3851,0,0,1.00
8,76786,276143,6505,3579,0,0,2.42
9,87656,315466,11900,8973,0,0,5.14
10,98526,354789,23632,12925,0,0,13.11
11,109396,394112,37772,13733,1,0,24.79
12,120266,433435,73537,30849,1,0,53.78
13,131136,472758,176093,30453,1,0,184.35
14,142006,512081,267117,121476,1,0,338.21
15,152876,551404,562560,57041,1,0,949.87
16,163746,590727,821146,315626,1,0,1424.37
17,174616,630050,1159075,336746,1,0,2402.74
