F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.03
1,8,9,2,1,0,0,0.03
2,31,62,5,3,0,0,0.03
3,492,1426,150,147,0,0,0.03
4,2025,5530,1452,1436,0,0,0.04
5,4688,13718,5421,3689,0,0,0.13
6,8907,28863,11287,9553,0,0,0.30
7,15141,49205,21936,12141,0,0,0.78
8,22525,74661,37477,14715,0,0,1.87
9,30409,101427,59827,37051,0,0,4.43
10,38721,133009,116823,24204,1,0,18.38
11,47169,170729,201741,62718,1,0,52.83
12,55827,206628,362755,61390,1,0,112.38
13,64485,245824,938049,90428,1,0,368.91
14,73143,283865,1411040,563395,1,0,723.89
