F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.02
1,31,40,12,7,0,0,0.02
2,53,76,24,16,0,0,0.02
3,82,116,38,26,0,0,0.02
4,112,156,59,42,0,0,0.02
5,270,324,145,98,0,0,0.02
6,643,921,20948,12009,0,0,0.14
7,1616,3913,66912,25038,0,0,0.54
8,2706,6806,86536,44597,0,0,0.74
9,3861,10723,116362,74373,0,0,1.17
10,5959,17723,168116,63418,0,0,2.36
11,8647,25935,219821,115110,0,0,3.19
12,11349,33879,266528,161804,0,0,4.37
13,14354,43715,339906,119968,0,0,7.23
14,17172,53343,390036,170088,0,0,10.00
15,20227,63711,481387,131992,0,0,15.14
16,23283,73976,591402,241987,0,0,26.56
17,26482,84547,756451,64615,0,0,45.42
18,29713,95222,982047,160097,1,0,69.52
19,33194,106726,1457204,77877,1,0,155.49
20,36746,118993,1897730,518389,1,0,269.73
21,40935,132975,4038926,198227,1,0,935.04
22,44602,146848,5648527,1807814,1,0,1812.29
